group,RXRG,RUNX1,NR2F2,EBF1,PGR,FOXM1,XBP1,TFDP1,FOXP3,ZNF263,MZF1,FOS,NFYB,SMAD3,GFI1B,PBX3,STAT4,ZFX,BHLHE40,BATF,IKZF1,TCF7L2,POU2F1,HINFP,FOXP1,KLF4,NFATC1,KLF9,MAFK,ZBTB7B,AHR,FOSL1,USF1,ATF2,MAF,CEBPB,ELK4,MECOM
healthy,0.306261945010754,-0.189578514099986,-0.255719152047702,0.417236811043763,0.487536696593087,-0.0871149309841437,-0.0456300737283218,0.107401698694259,-0.301358346009944,0.199314153343153,-0.243273961462409,0.186494191299373,-0.0082209788559131,0.412383583796452,0.0934136451522036,0.399740834913312,-0.199692432583916,-0.338427326312765,-0.370706079137972,-0.357998927372224,-0.428256017977768,0.101413353102077,0.338502813787368,0.317849552984941,0.141155263500051,-0.178790119239814,-0.255102062989514,-0.289582720905704,-0.431313401010492,0.169974220509704,-0.386977278008548,-0.195590291677779,0.420941870996132,-0.200156582334822,0.368474007119404,0.244771363560859,-0.358434172997167,0.411094403653971
healthy,-0.223064590998325,-0.551051102948981,-0.555822263096351,0.248748341275702,0.582779526893328,-0.523266900829156,-0.515484204342051,0.102930514865911,-0.56838876967903,0.563800697516157,-0.491629044108905,0.561865143352943,-0.535484156753282,0.562353207177284,0.498778954959191,0.565697965570316,0.346737129857206,-0.102370298299035,0.55011069939453,0.528160461234835,0.438173309319905,-0.424140849879014,-0.287006300192828,0.43499719555279,-0.556612180304964,-0.143170864779787,-0.208889923722002,-0.620254309903352,-0.494900160588285,0.486358515246775,-0.565120439390773,-0.138678980261036,0.103522308265516,-0.34254115805085,0.210751051354522,0.544692198163609,-0.512971556339296,0.565713513797791
healthy,-0.345876768653431,0.0177517979209326,0.152824974378907,-0.0262486245456111,0.285345902944208,-0.43213396709271,-0.421803491247854,0.387990583898847,-0.332027259520715,0.245130726908734,0.106388009489192,0.401670998307032,-0.291364053622158,0.482869715771237,-0.0459123443021313,0.483894936094182,-0.178291347149904,-0.340638540978065,0.431578986217937,0.396321593329999,0.379644049320838,-0.412308915185088,0.377590072391497,0.415239329779982,-0.142577687445966,-0.008498594766404,-0.411516744566649,-0.0249894488845949,0.315518422107414,0.374790931538371,-0.368634779555015,0.393828211619163,0.184018142571815,-0.418239003780027,-0.0501871072387216,-0.155979986098349,-0.283251819385484,0.373885125470011
healthy,0.0670402277856156,-0.158397410678191,0.0725574624241009,0.103065466030775,0.367361871209289,-0.187099862316746,-0.232108936778104,0.204240124611293,-0.209114919405976,0.202819381787353,-0.21393419583069,0.121080244958903,-0.300853501223444,0.241115416850358,0.0524836840305541,-0.0573488847416469,-0.212922542912242,-0.290273455033668,0.15517102494695,-0.218094117723946,-0.200478243513044,-0.173109642311034,0.156033219321512,0.168467606349986,-0.38475012465028,0.123519915835768,-0.164165319168958,-0.235192275177714,-0.0963361485190332,0.11987239075756,-0.113377969150205,-0.0855582641411056,0.0170739221620461,-0.217519609448311,0.268662577134158,0.0819336102669061,-0.169097632995589,0.0910326209557742
healthy,-0.41294442640067,-0.131546023774878,-0.160050480853193,0.311263956859528,0.473106846715099,-0.472097853332746,-0.55932296742329,0.589980352440581,-0.537072337716146,0.559537609638951,-0.468304586450505,0.264522833646063,-0.598547954019992,0.577475648560037,0.56521346386015,0.403914018599901,0.552581525762035,-0.564255037834226,0.396087465208285,0.0609738587067386,-0.273402261470784,-0.490263636295881,0.465053792114992,0.321848802280792,-0.478314187401059,-0.589111334055566,-0.110238725567655,0.135653720604018,-0.45963598902232,0.590014860165619,-0.520069284563493,-0.263647198387414,0.346731795122409,-0.555184290016862,0.348254849459769,0.48583197650043,-0.585031055939943,0.563775123557636
healthy,0.0836623619312286,0.009496349894746,-0.138706944392822,0.4048470456544,0.250486944876158,-0.261297313553638,0.257427569933192,-0.2344804101443,-0.360525433620805,0.356212008044699,-0.151094434526402,0.27608876538275,-0.401781444150417,0.336406519899903,-0.159745212992241,0.252568802746682,-0.151244703084487,-0.0981359562303379,0.267570599827345,-0.146629958179975,-0.0612428322327879,-0.136561517809912,-0.0437277872325328,0.115549355543925,-0.140348193284334,-0.390982836592653,-0.0636340131390786,-0.198654963946925,-0.304755069947271,0.0750673021192473,-0.379148901297972,-0.209419391623519,-0.0540947253797154,-0.291811343104262,0.320025542963494,-0.166690866556517,0.029515018810455,0.316713069690076
healthy,-0.10907756749098,0.151120762128593,-0.104036192314004,-0.183430785393248,0.135871680706586,-0.146536070982107,-0.180867702056001,-0.107218104826118,0.128469531730301,-0.0656152309475445,0.0693282059967424,0.109879367792069,-0.138025682257563,-0.0330285196383579,-0.0996225717326862,0.0277521083805434,0.0783339555752057,0.160038745069274,0.171652205088941,0.160505842090688,0.13639381782288,-0.0674851066033305,0.141203132059281,-0.129298108293764,0.0666074402255153,0.141990056659051,0.0805162209586886,0.022487597683784,-0.140811901114594,0.154925966525968,-0.0326789406573638,-0.126019503723078,0.115929315518466,-0.132157218087257,-0.132173581358707,0.182547168734905,-0.16936134708583,0.158261098761666
mild,-0.228999187409776,-0.113363672126353,-0.149984572939846,0.211711335193466,0.314184268220411,-0.232031318906524,-0.234726450852065,0.137153787732294,-0.27603362740783,0.1500070961597,-0.436680658047813,0.004032237902391,-0.280435683063142,0.229950946694504,0.257697746038261,0.168194336852258,0.121083478225503,0.079148512104216,0.432781767666175,0.15980694440275,-0.478657307057483,-0.0163392521550221,0.0207179672789436,0.281777708606743,0.21277899554114,-0.0149464589909548,-0.0299498311564316,-0.124888534955693,-0.192790824594536,0.28061552303632,-0.205018072384671,0.256985018943019,0.304954683384709,-0.244110994811659,0.295023672357515,0.228651751418942,-0.492175404114985,0.235497285654075
mild,-0.371010534690171,0.129090245734768,-0.0772214407932834,0.0849418846743186,0.359822006043042,-0.244219051870745,-0.284340765614302,0.230240158225922,-0.135414641581509,0.334233294019681,-0.0670068435043449,0.119292759350046,-0.02059609406921,0.361235287604783,0.0832508379024531,0.332315443882769,-0.128134540237658,-0.251556995239536,0.328740087850825,0.0369043806608812,-0.327319143268243,-0.378980528428333,0.210636849853951,0.366080709403203,-0.182183447043699,-0.308353596697003,0.014391064932727,-0.356892306377186,-0.367569154724765,0.203510835871623,-0.315341874770912,-0.112693884020102,0.221452525676946,-0.254177009630036,0.366519828062239,-0.0628370024440466,-0.0818903705419072,0.372216352366801
mild,-0.226355826352832,-0.0631156492840899,-0.105924541123384,-0.237599224110955,0.280954563487948,-0.140281711046271,0.173758812829496,-0.229509883193233,0.0218655709470734,0.103982255664827,-0.205318554831323,0.211528883163274,0.11900860427165,-0.0501696360400843,0.122262363820684,0.20716497230081,0.155892854386421,-0.208037371001346,0.250880775316705,0.247538817217727,0.0486645086116862,0.222582462303039,0.125263031878573,-0.0562898484623097,0.29789827187617,0.108369174844667,-0.168198469463439,-0.0644654705701947,0.0068545612185011,0.170042969573145,0.0290940173229473,-0.0344051039174223,0.0151145471567677,-0.242854707271769,0.131394748459487,0.0007420182354013,0.0285379829863416,-0.0401322575844609
