group,CD273,CD275,CD252,CD19,CD269,HLA,CD49f,CD16,CD25,IgM,CD32,HLA-DR,CD66b,CD366,CD66,CD106,CD122,FCERIA,CD357,CD124,IgD,CD26,CD204,CD144,CD305,CD209,CD307d,CD319,CLEC12A,CD85j,CD23,Ig-light-chain-1
progressive,0.138209919589978,-0.192336895908334,-0.155009414763441,0.300149998786865,0.0679825920842111,0.106003262134653,0.0772978906340989,-0.0106061195291106,-0.0524550217211033,0.0841132483911098,-0.0239507434831486,-0.162309786836771,0.274633690297109,-0.185008273635061,-0.222252915346476,-0.268769189675986,-0.194199224623844,0.11872844626542,-0.0228011813551857,0.0081480187964925,-0.185277580980357,-0.0154963156899007,-0.0632687926680387,-0.0003801359600451,-0.357238393400559,0.0914728299339413,-0.171641451592618,0.0572115943061792,0.0778355771583702,-0.0707122968852275,0.132171355502956,-0.181965293433233
progressive,-0.0281556134031923,0.0656716436225845,0.0743426981633577,0.061158113644827,0.185538717024774,0.0258925223566757,-0.0314802504426681,-0.225021513325379,0.0379816731268796,-0.277548047382436,-0.0686417388680337,-0.0561242808374027,-0.127968210441899,-0.0304956601628889,-0.0671477176859932,0.331473892785348,0.0351398829468642,0.0347782392439689,0.154537166066095,0.118326669667999,-0.435416384096419,-0.0143304087615286,0.132313383713403,0.161562610708598,-0.271768169257601,0.30755813233352,-0.0581308105270742,0.20913375027517,0.0363505949928103,0.145836931345483,0.11885890092783,-0.132262274257034
progressive,-0.121826674177849,-0.162667757230466,-0.250580703255425,-0.281196552976291,-0.225680639872529,-0.0281091466905329,-0.0700839513763196,-0.102657453132559,-0.192840111863545,-0.0025748709257946,-0.364992124848811,-0.0967470640683,-0.0830495628187888,-0.255025985711911,-0.0378479936966211,-0.249112972530145,-0.296841519290681,-0.229372578935481,-0.242058862637707,-0.214760918048741,0.0599545652361234,-0.235791248895598,-0.332223918521633,-0.276208325617558,0.0408293202590816,-0.0838441526082584,-0.25277522990224,-0.231007523963214,-0.170234624167953,-0.226108932842055,-0.220249620406762,-0.0813210188065614
progressive,-0.0494472507488226,-0.175191384577451,-0.47872188576103,0.212330329572435,-0.330221768877738,-0.0125986068693105,-0.057446970376318,-0.485445395771712,-0.069618866747615,-0.0399726690937112,-0.106916174857746,0.236911396596009,-0.539236086027527,-0.555052005488917,-0.458838768294703,-0.121080840038226,-0.35449638334231,-0.336282546090708,-0.228097531807425,-0.148699095938878,-0.0824171464325892,-0.386446421613686,-0.203972678715135,-0.373492737141646,-0.146266701495853,-0.295453607892098,-0.320407144119505,-0.517566800005945,-0.539163629202921,-0.23666639244422,-0.365064247953924,-0.086394765928888
progressive,-0.474552477746883,-0.460034791454622,-0.234451048833158,-0.508304476280947,-0.583283219619445,-0.462849293611953,-0.0941247638892666,-0.217745032966237,-0.18853498300601,0.159662457554879,-0.156397070617685,-0.213374341931118,-0.078808256428926,-0.318120438355688,-0.240423617565723,-0.482279052743585,-0.493836035345793,-0.464817917774155,-0.378234232396098,-0.569191405503182,0.10200105326861,-0.544772630994488,-0.487211276216012,-0.534676440814714,-0.182381651718947,-0.557327335161976,-0.56533218378453,-0.107761092821977,-0.0747726780859489,-0.480702797578932,-0.497782418300336,-0.583334599251806
stable,0.070509896254248,0.0606229682833962,0.0553591360280205,-0.0592139742657685,-0.112791134971747,0.173917396998025,-0.0431744824689689,-0.0984860009548641,0.0428873565058656,0.130133313571673,0.105657536030417,0.0405771338204304,0.0715757171295078,0.0189315974678926,-0.0917424054148628,0.0334274091724615,0.0028158745281538,0.0628445971206426,-0.0896867943027844,-0.0237462657460225,-0.0219087772405961,-0.0200440173867157,-0.101783607671297,0.0286948055099502,-0.164696582254367,-0.0487948471235878,0.0396640356270073,0.0986872504951922,-0.0751114790968829,0.0809721331432225,0.0346378052726797,0.193016897803175
stable,-0.0584660551304417,-0.056896443505985,-0.113834485730004,-0.180782745213145,-0.30409724110716,-0.293517603745259,-0.277962319742023,0.10385964657824,-0.139066588910472,-0.106048942864204,-0.3125823308941,-0.347348108874042,0.007180027960704,-0.240882564782843,-0.122743328034465,-0.180996203308747,-0.248400116600487,-0.166365506748505,-0.231423412664939,-0.289910026720344,-0.301259976604263,-0.058702958849974,-0.277379132019341,-0.250744262256752,-0.307714038520999,-0.266049167430019,-0.185928939343035,-0.179288148644294,-0.031743531242943,-0.26189806598718,-0.138603361941884,-0.156961377752
stable,-0.225417575724513,-0.24773845034428,-0.171276627562741,-0.10423694793431,-0.22381149227648,-0.105313240966249,-0.134128544326613,-0.190809461440746,-0.0874711816108202,-0.39385449898346,-0.288779998401292,-0.0856706836339808,-0.230073503236996,-0.0203974276051319,-0.287386366311413,-0.160252021182856,-0.0775904521373488,-0.177793325602294,-0.293031608222485,-0.285217043037264,-0.0845751596718911,-0.0927125814757765,-0.22232822702007,-0.0691379444185773,0.0497050822941242,-0.129318617171723,-0.186550414380922,-0.174139476719165,-0.289560080085481,-0.149339991636418,-0.0676815430749473,-0.218458971498958
stable,0.0641495336072895,-0.0427022996630473,0.117795500860295,0.147120947120441,0.157676683595524,0.515321964195357,0.105476935130809,-0.0403452048476268,0.116711805959635,-0.309580674186429,-0.0733056620756498,0.0386651505677167,0.0170995783346221,0.0206822764684517,0.0413271067356778,0.0616158544579026,0.0072346992328019,0.0484515940900653,0.125492746409818,-0.0300099128477586,-0.491249166946639,0.193405775707783,0.133400806170877,0.177749512959096,-0.096230025898603,0.141553167414095,0.149960295234226,0.0767342557884205,0.131050897897768,0.276076941845558,0.0053312422376282,0.154601132588188
stable,-0.272125747586311,-0.122889619988194,-0.198039267872103,0.0473595942938725,-0.164982045748877,-0.13616550519975,-0.528680072684926,-0.139752089234701,-0.59788223769949,0.17427827126216,-0.0834373861034033,0.164171619295819,-0.123621236551442,-0.143248533873503,-0.0250565749110292,-0.0434798343113618,-0.173706186410544,-0.0619160400642236,-0.4763230904803,-0.146640192365288,0.0950911766744215,-0.218528370364586,-0.0909771574483938,-0.224014216508424,0.0977893122242028,-0.0763916646341261,-0.24373594741702,-0.323099782754728,-0.0592062918089708,-0.324943964684954,-0.231720822912628,-0.163111661369649
