group,CD3,CD28,CD95,CD45RO,CD45RA,CD27
healthy,-0.258955559503794,0.178021978754549,0.629002989538767,0.69155799284944,-0.236306359068107,-0.368306282503808
healthy,-0.44321350921929,0.217207604730755,0.407511163006781,0.76394847948714,-0.33047226341233,-0.468263149352319
healthy,-0.348006859148226,0.0584674015676132,0.50075483131707,0.652950788328313,-0.20365006587475,-0.677440466217988
healthy,-0.443487658917443,0.375948314677563,0.822358500096611,0.726938790725907,-0.700988817620335,-0.636691431589279
healthy,-0.454287386384991,0.169300213856101,0.666289148063962,0.604265855023738,-0.548992342487065,-0.574295031721819
moderate,-0.297573314327268,0.0427017745440585,0.360611359093528,0.440459656447309,-0.378323154682544,-0.530917591349662
moderate,-0.196602596157499,0.0963975975843763,0.551951562968095,0.648734754617079,-0.313800846583664,-0.515624887097053
moderate,-0.16787565375634,0.362726496677853,0.766479913616857,0.709391037206037,-0.482273789482124,-0.422263644895174
severe,-0.206779539158672,0.567863432992816,0.627728623537901,0.743470109801393,-0.383818171796841,-0.392829253393889
severe,0.267121955205561,0.242319555838876,-0.0833619543804442,-0.222046191374116,-0.0509791380437556,0.193500426287455
severe,-0.0698965728642214,0.213029562214875,0.465610901918859,0.223102270508606,-0.326729414860329,-0.226689847326506
severe,-0.257093596086654,0.289814536776613,0.651609764294072,0.543522725811038,-0.509322499702631,-0.434073847097976
