group,ARID3A,ATF3,BACH1,BCL6,CEBPD,E2F1,EGR2,ELF1,ELK1,ELK3,ESR2,ESRRA,ETV6,FOSL1,FOXD2,GMEB2,HES1,HINFP,HSF1,IRF3,JUN,KLF4,KLF9,MEIS1,MITF,MYC,NFYB,NR2C2,RARG,RFX5,SMAD3,SPI1,SRF,STAT4,TFAP4,ZBTB7A,ZBTB7B,ZFX,ZNF143
healthy,0.0009443707159663,-0.131119344894066,0.044789227665103,0.119781818367219,0.0619214377255207,-0.15243793798509,-0.0969828773560288,0.0924711671813648,-0.134414894130529,-0.0296921868784527,-0.0388880236234312,0.0815506427466485,0.202090059450872,0.0793184006275048,0.179834996045833,0.0639657302044808,0.056805638839825,0.0596500932278501,-0.0529488502405677,0.0311862008203252,-0.151379501586829,-0.0865139498705226,-0.284634986967605,0.0845273967032978,0.190125986304292,-0.041101747218619,-0.0681886663990341,0.196933199879782,0.0945571977832697,0.0477610790232798,0.0364159868283305,0.058900157335741,-0.266466370322638,0.183686595131891,-0.200979129043051,-0.181388662064288,0.0641498269897571,-0.0779510356281026,-0.216125067158218
healthy,0.027213416826464,-0.0359491200575997,0.0222203763308657,0.0121113800217663,0.0417392436262145,-0.0435264321074264,-0.0194628524033429,-0.0188002090894254,-0.0390232687649284,-0.160739719302416,0.0021939152641344,0.0296115332944689,0.131755159006489,0.0386382125926649,0.0385262671926369,-0.0773872173375813,0.0147853155860534,0.0237635665142025,-0.017579442071057,0.0341384527375076,-0.022172872166354,-0.0336593767343149,-0.0500257106380912,0.0520759119414947,0.0222076664956136,-0.0221575062447593,-0.0377048534043337,-0.0315767358166242,0.0216077526278298,0.0268194038970784,0.0436497171075434,-0.0999501966603632,-0.0665459488731958,0.0539366671833123,-0.0492157328887155,-0.0270724754823388,0.0310305825829972,-0.0230399979640875,-0.0783999416716806
healthy,-0.10425566117049,-0.0486072840668792,0.0078698225594,0.143818595717793,-0.122830408372286,-0.104418231072975,-0.0099448850165312,-0.0210273562215497,-0.0839516543967592,-0.0620428132428613,-0.0542548585373095,-0.0529628576351326,0.136303804426901,-0.0861275699000902,-0.136485239672603,0.0784458995855803,0.0072662732163174,-0.174311843549069,0.0382214577435654,0.052240935481545,0.0092565750973224,0.0628265721018675,-0.0882908249767282,-0.112792825498349,0.0399196545990618,0.12399867049137,0.0197861550090943,0.105794295247226,-0.0577228947919514,0.201567623068628,-0.0431471808803509,0.0979059015197549,-0.190477263611522,-0.0353020581379157,0.104385348828775,0.0318702707985989,-0.0433239692482696,0.0505743406635901,-0.136517337449744
healthy,0.0891410453634448,0.0050640973525741,-0.0112478852274721,-0.0945657114877636,-0.152488549348109,-0.22854981887876,0.0160521768354531,0.0187813664344924,0.304348227512508,-0.181690994716008,-0.0835740714604625,0.0109649720435718,0.127634710501153,0.0394007679783942,0.219469093023272,0.0202414138440558,-0.0351881423348736,0.0835917183850049,0.314040470222597,0.192578922962186,-0.216438841723619,0.0670103048106098,0.0387739335628915,0.0401414904161753,-0.014562375890324,0.0949346591287192,-0.0284885847108222,-0.222348475277896,0.0196545092052741,0.380465382770818,0.0514616011162525,0.109633802484188,0.0307305991143648,-0.198098124010873,-0.149040623768093,0.0448646760901698,0.0433586987975433,0.216014137552988,-0.159345831110184
healthy,-0.0396178204609964,-0.136713119323731,0.304419423046949,-0.0267338101551815,0.0965325357455337,0.0192973900081795,0.0111987243914835,0.0371167810668802,0.0734677806897563,0.0214453184285063,0.0123312737350391,0.0041499128752921,0.156989935431265,0.0906689548132093,0.0211090805706526,-0.196189012910973,-0.0046165773165012,0.0656545796767508,0.113091352269142,0.0140702503343106,-0.0384989393598467,0.152766407787923,-0.279034273919027,-0.0157922021746191,0.0533286473975947,0.152594784094405,0.0148842927375498,-0.0620320156134884,-0.0812937559303059,0.0562901316054765,0.0466949869599434,0.0878350227611525,-0.0534820784545075,0.0398352290320817,0.152150560557891,0.0822898627626515,0.0180614699133137,0.0809729132347051,0.0641629305914961
moderate,-0.124578382986067,-0.209605508666125,0.258975921311819,0.236087888252643,-0.099732878634056,-0.130981204152914,-0.28544020314604,0.218026280337577,-0.286237577842542,0.195669728162215,0.0074194138346636,0.152401172085157,0.0984285623788879,0.106201035754107,-0.115655015261444,0.0159511237052184,0.385723325022928,0.210663204703564,-0.147528428964833,0.204816250374896,0.176364129832968,0.164122482988908,-0.0112355345130244,0.199393161764551,0.0953319551632808,0.14409614423065,-0.0846456925448014,-0.229594731695099,-0.0077828003412184,0.0709447738319877,-0.0731240703994358,0.247583488488634,-0.101210452749482,-0.0851742593837534,0.35530095228965,0.296718221365726,-0.20754369411782,-0.135403906274757,-0.119034540446561
moderate,0.0012177279575998,-0.121549743273901,0.241572536228908,0.136750289999643,0.108379549070228,-0.0573355680611777,0.028671296519034,0.0512829925629517,-0.0808624602586558,-0.12474999092294,-0.0651324244335777,-0.0044130318237962,0.148253387164743,0.0929848246671307,0.107352250909076,0.0790542511207419,-0.0334124611064046,0.0836554800299511,0.0126156420301068,0.0240513227939658,0.27818873745091,0.0787395297750731,-0.0765443711436383,0.0742080040913488,0.151692875807693,0.0989589251885705,-0.138124662712312,0.21080159197592,0.0073941437008776,-0.0763224063330742,-0.0049304082222602,0.0229606385834353,-0.249439498429074,0.13298583421589,0.042503353720272,-0.025474363845224,-0.0330135071384318,0.0464627934682062,-0.166133561595268
moderate,0.160013454437774,-0.251884350158437,0.199689249272068,0.104674628973432,0.0451979244168759,-0.168902716368997,-0.122883904275481,-0.0679150443339735,-0.177421964464298,0.0111931117890088,0.0601332230559526,0.0909895844754123,0.373504625619692,0.135996954021399,0.154642987690316,-0.0948956895805698,0.123711273958082,0.0945650348069294,-0.231096243006593,0.138054600383207,-0.213911325950907,-0.148781611656626,-0.0602142763130991,0.0343416997898476,0.0560105706386115,-0.056632416445253,-0.0657562706269931,-0.0290342816221082,0.105736373497654,-0.0951550986539089,0.0340989023665673,0.0332738436600047,-0.136908066389707,0.0026755949126918,-0.0151481016869475,0.137308155122852,-0.0888969594379589,-0.0520758239245061,-0.168613039146084
severe,-0.0313331128865528,-0.426076468410474,0.378786746829488,0.298330767101152,0.0342877794246006,-0.447468573607441,0.0641997114478948,-0.204165872216506,-0.392689288541216,-0.100242532494233,0.0832712811865227,-0.0775684001055212,0.162980402206926,0.0147495844860019,0.203255453917967,-0.371941368065316,0.355655056309881,0.34168460553935,-0.418948812524326,0.507059794513808,0.0745236971017554,0.204517773153871,-0.297130907286679,0.414181836192503,0.460424569683226,-0.313612020088344,-0.370342557211512,-0.429668812990485,0.525749114472465,0.106826211215471,-0.0642032584101498,0.27499596014036,-0.322474234476452,-0.0877883493631738,0.259112898060631,0.0894765624576564,-0.440014597193834,0.0591700250110393,-0.365674402536688
severe,0.0654525076311778,-0.10364818772093,-0.0729578674102231,-0.362385453980831,0.0942845000816924,0.211867550417552,0.0050456554737013,-0.235742162835856,-0.125761023543171,0.0167124558722574,0.0194343901655572,0.0923466594157459,0.140700668389179,0.260659691177793,0.194047919292929,0.191084850245853,-0.0170232048988264,-0.362005739765598,0.183781193359771,0.0345291661183019,0.203895336879009,0.389030032917951,0.102370465613774,-0.0252894535476274,0.096001976685978,-0.155793172547474,0.0815746214884701,0.186908967504481,0.116426220147656,-0.131304364272479,0.107585369774008,0.377237310198446,-0.177069501198976,0.264399227113712,0.176232507215142,0.168517330991525,-0.141398920640525,0.250284568195159,-0.0355642930323928
