group,AR,ASCL1,ATF3,BACH2,BARX2,BATF,CUX1,ETV5,ETV6,GATA2,GMEB1,GMEB2,HINFP,IRF1,JUNB,KLF10,KLF4,KLF9,KMT2A,MITF,MYBL2,NFAT5,NFATC1,NFIC,NR2C2,PPARG,PRDM1,RARG,REST,RFX2,RXRA,SMAD3,SP4,SPI1,STAT2,STAT5A,STAT5B,TCF12,TCF7L2,USF1,ZFP42,ZFX,ZKSCAN1,ZNF143
healthy,0.069372492079419,0.138789076795087,-0.077487481534366,0.101515083295803,0.188980664557576,-0.122954095183915,0.0417095114913722,0.0184904638450331,0.0604125541681028,0.146229476019669,-0.077065737168401,0.0554841948459168,0.0734323383299368,-0.0809976054380242,0.0703002440075606,-0.0102203037297667,0.118160406064738,-0.229812113324477,0.0323453057103873,0.0878744442199407,0.0711038527462337,0.041212865230458,-0.0330853193889692,0.0832503024963554,0.258835016153491,0.0445126475512053,-0.0036997100655883,0.0398764720017548,0.202069901053019,-0.170743400310324,-0.211242029608101,0.0090085624693885,-0.0616091836628067,0.147059733055875,-0.0644869781387684,-0.0348404089044384,-0.0075120991433416,-0.107949008836172,-0.0896348638543105,-0.227127358504851,-0.054048558731103,-0.115216489861678,-0.0283943737381934,-0.163975971952253
healthy,-0.04376564336013,0.0242395062733655,0.0290096257786253,-0.0730876763104546,0.0388665270155302,-0.389669597174674,0.0180642555431507,-0.371324455189666,0.0139554455017103,-0.216620709060102,0.109657997812254,0.192651453623901,0.0171394374921424,0.113204279057687,-0.0536156357212313,0.0130241249793575,0.351770662279465,0.129841055194681,-0.300037784623661,-0.0851240027397881,-0.110063016432077,0.0085959988904142,-0.22293028865616,-0.176648197013818,0.0198000171157479,-0.0216210870483396,0.0119804498802618,-0.119372238891907,0.125347713382197,0.0637867323094552,-0.226998856528067,-0.0372480334495855,0.0180187585639626,0.128532965226452,0.0781515855991456,-0.0345083228137627,-0.240646824544166,-0.0259275031298931,-0.0584314391517304,-0.0139331257688205,0.0046775365054486,-0.058867901284548,-0.316097893153517,0.19505707947418
healthy,-0.0225025832365816,0.0280706591761506,-0.0232447458441456,-0.0443406419212119,-0.0628526180985134,-0.0409768707169608,0.0307563583590225,-0.0129762865552279,0.195845771303246,0.120036888082196,-0.0875930529709572,-0.104310943767358,-0.313585810527865,0.0692365069159018,0.0221046847638205,0.165285023441691,0.171440266397672,0.0311332233266711,-0.0910226143830144,-0.146563388761677,0.0217615977132472,0.112671256013367,0.131988962847025,0.0438540991052517,-0.0570661600319878,0.0853851949813759,-0.0495931602801574,-0.337279388489475,-0.0748889478924519,0.187000989889663,0.0591345005379972,0.037965289714685,-0.012704231587558,0.0283658542996804,0.215319496801266,-0.0275768558406433,-0.0101201081732302,-0.0137766433270414,0.259307029954772,0.0056474796215261,0.128457539645957,-0.09439101141828,-0.298916040790614,0.0896047999272535
healthy,-0.0141640871900841,-0.0244061039215697,-0.0102316009464203,0.0032781104752423,-0.0052637057844786,0.074399359417051,0.0570288546163139,-0.0091701564432845,0.174729412936123,0.0900670501052439,-0.0492816937321389,0.0386203272565193,0.0318691729108574,0.0179328641269345,0.0569168093096586,0.0828105828273143,-0.0402820792886256,0.0089977879972118,-0.0033336018692423,0.0232645323272933,0.0138856064794818,-0.0124723713563399,-0.025978061493895,-0.0663264939091967,-0.06017738822709,-0.0109943962735313,-0.0194707396683818,0.0034146635114629,0.11375851716386,-0.0254318609824284,0.0124847880889457,0.0235365991479112,-0.0550211170387519,0.0356413545607708,0.109915678023375,-0.0965540212084852,0.125455978929297,0.0689297150259225,0.0223411493266442,0.0288477653915909,0.0058529421792864,0.0446921793012208,-0.0040078862901304,-0.148018771974101
healthy,-0.173873463620565,-0.0657127902508988,-0.199969907402715,0.0504623261448824,-0.154141179668585,0.0280689976978396,-0.0580275671969539,-0.006820997941423,0.0484000430224227,-0.0089312894860922,0.0221252389234802,-0.0234311631146996,0.0205134166809576,0.0495393942073266,0.0845196198589884,-0.0125347973382544,0.0445011747126349,-0.129137415662324,-0.069710974289893,-0.0383299330216118,-0.0226869981113512,-0.0022904873830116,-0.111591835167135,0.073489754923225,-0.0695036844075493,-0.0036088788776729,0.143469422919619,-0.0779739570418385,-0.0351839616518562,-0.0172639807060022,-0.195296026300631,0.0477235189408626,-0.0150766546880845,0.0723593332405284,-0.0988328193379014,0.0754624466753267,-0.0331387242989817,-0.0726220861976832,0.0123629360082751,0.021008428586443,0.0381581635825737,-0.0512759239433718,-0.0341188422664954,-0.0010423304319529
moderate,0.0343977501369549,0.121726340099681,-0.111432734663819,0.0759072538994631,-0.0142179054941571,0.0201128928746429,-0.0370293909161276,0.0483926087510401,0.133506834964276,0.159650396236285,-0.104555716199664,-0.0024656887295465,0.0461514212038504,0.0267003974579986,0.0652118839916241,0.090734727503201,0.0772506521694157,-0.11699743383648,-0.0418068816482549,0.0828230537578824,-0.0481140829319501,-0.0836242665907899,-0.0230689507894526,-0.0050394805956071,-0.108428792499701,0.0564725506570312,-0.0412235448428507,-0.0181757622311011,-0.0382529439051915,0.0401453143561857,-0.0250553122584921,-0.0224301350450303,-0.0480789642249211,0.0610048567965269,0.115383696930671,0.0936559360262197,0.0828269318973089,0.0906263550514491,-0.0063602025225241,0.0896119522761787,0.107391228613967,0.0045036509981776,-0.0723333868287913,-0.10554808898847
moderate,0.0993353882095183,0.176461980956575,-0.130418342657275,0.144120327047555,-0.113841860987434,-0.0454345537907943,0.0978904099538855,0.0637624152838482,0.158158684663974,0.173503543017462,-0.114953767464723,-0.0439412243928808,0.0104231418422407,-0.040528826137244,0.0591951332570789,-0.0862794789362806,0.058802401528391,-0.0683561966017402,-0.0048179120658292,0.0204747606093565,0.0159024240840046,-0.0104637498750132,-0.0391203594653657,0.0267737250952296,0.0648744465774537,0.0873366191624093,0.128413495753862,-0.0896002305304097,-0.0135145091584264,0.0614952876940307,-0.126421819783018,0.0491826787015609,-0.0672391276766219,0.0771654578492838,-0.0128022634020979,-0.0891970131066646,-0.0359281203249644,-0.0226294264490652,0.030815469708084,-0.20946192961247,0.0298361451462293,-0.0762538950536325,0.0073582603235218,-0.205850582019632
moderate,0.148001074598354,0.262855961596397,-0.226721750106809,0.104772326603254,-0.0119529975376921,0.329840139507469,0.0518130776360512,-0.0090582056417996,0.332339904905449,0.336997043870649,-0.175183981545328,-0.107557880450258,0.0443993957994489,-0.0886058087524343,0.0414467951477643,0.163327323734133,-0.152806064581382,-0.0498461613696513,0.0136420791838786,0.0173262926891857,-0.0073530277420499,-0.145705648802408,-0.0257963823889034,0.0203112334448197,-0.0510535771826487,0.0816956862778105,0.0344520996933902,0.0780999488682477,-0.0381914980109641,0.0310643344076792,-0.0852117214027919,0.0561801396445275,-0.0277262190533612,0.0427659745552931,0.0157039494066008,-0.0586938201430149,0.0034417857230384,0.0417114690512335,-0.0481680920864476,-0.137433699638146,0.0149903433654208,-0.0368683170895592,0.0859521572665183,-0.219378398156509
severe,0.0948197501329122,0.321347744740576,-0.361076203432131,0.103618974857524,-0.015483052055251,0.0658754592375017,0.107308252958302,0.0655009780276168,0.345562229584373,0.274461204154635,-0.13296695890543,-0.36130236118403,0.164203363794051,-0.145269786481417,0.096616200315071,0.332017978735823,0.0681990248358636,-0.270173165518721,0.0462935839074985,0.206081922607775,0.0654027218645088,-0.117757506916128,-0.014796053632461,0.310848134499158,-0.165644959916553,0.146419311342603,0.0750745480141348,0.318068348967273,-0.163532765480838,-0.21101373177119,-0.132229772775798,0.0966329857429353,-0.115569308448361,-0.0111012365813118,0.0132521314224471,-0.0394253095294957,-0.0479852275156753,0.0598740065102124,-0.0440732836099717,-0.164487584195276,-0.0803176702708091,-0.0743955208634009,0.141605578151668,-0.175942470716598
severe,0.210441472191766,0.103186768595642,-0.287212140440129,0.509911010355992,0.0987252156598522,0.191228728471265,0.398676758526596,0.127362858036662,0.133218151562831,0.215941239840882,-0.585821556630926,-0.115299548418916,-0.250704447966723,0.338893664154131,0.354673670313116,-0.354990114727804,0.288889675109548,-0.363177268841828,-0.151563022977704,0.34757502562137,0.203013850633265,0.454982921953941,0.379206769737355,-0.163683388232491,0.539880885367642,0.395763952825169,-0.304399738847041,0.147235204497521,-0.566160283046982,0.0495989929620024,0.0563965290027751,0.369568654495225,0.45276880045524,0.311953179628266,0.0547377930114565,0.214917041685789,-0.101090056384725,-0.342514388496648,0.356387812934625,-0.434461196595198,-0.427282245269812,0.319998024451058,-0.0701990461461635,-0.31660601735876
