group,ARID3A,ARNT,ARNTL,ATF2,ATF3,CDX2,ELF3,EPAS1,ESR1,ETV4,ETV6,FOS,FOSL2,FOXA1,FOXO3,GATA2,GRHL2,GTF2I,HES1,HNF4A,HOXA1,HSF1,IKZF1,IRF3,KLF9,MAF,MAFK,MEF2A,MEIS1,MYBL2,MYC,NFIC,NFYB,NRF1,RFX5,SP1,SPDEF,SPI1,SRF,STAT3,STAT4,TCF4,TFDP1,VDR,YY1,ZBTB33,ZNF143,ZNF236,ZNF76
healthy,0.152088301090269,-0.039913055461253,-0.0917267411505979,0.137814813352059,0.181729274537922,-0.0371690414805748,-0.14607065037853,-0.0409773509438139,-0.271804523365248,-0.0056968114002202,0.123297181557773,-0.15139488701543,-0.222856498196792,0.0935586489086118,-0.0235279855263954,0.255814050412197,0.125838349588823,-0.207502082270021,0.146167233966534,0.150368171993143,0.206272115150634,-0.0905097535588893,-0.18932413556411,0.120040383829841,-0.109403069941345,-0.0484083282416234,-0.171768077999382,0.176247418298998,0.145280139121794,-0.141599665112625,-0.12594304108377,-0.200426352925651,0.280080523787118,-0.13964692955613,-0.100111363457502,-0.0995283892611439,0.0322955533251927,-0.137511128936147,-0.198176132611747,-0.126215286676843,0.11241846564587,0.250577174162506,0.0520904461810362,0.190317621706181,0.0447857785981163,-0.0743087543860226,0.0565968522341494,-0.137044753447132,-0.0992907607560485
healthy,0.163005710180839,-0.164828825568402,0.021210577891334,0.15833896796774,0.125403671475258,-0.138808721514722,-0.157132465827195,-0.156797276060216,-0.0719558537187636,0.155914499050155,0.1661955944349,-0.18307708112479,-0.167529684323688,0.165465763932751,-0.148865430779936,0.18540321140829,0.165971589411319,0.0439958124898624,0.151717473474366,0.161517451101298,0.182770568828045,-0.156872669542315,0.137802723480843,0.164432771602418,-0.0722341490362141,0.174710071906661,-0.172893133449286,0.11830685505831,0.17070996178401,-0.12515543510086,-0.166481464034355,-0.187106900852538,-0.168066172147229,-0.166073627851918,-0.114967644707861,0.140988241010477,0.151269368153218,-0.106493595164791,0.0909572977832316,-0.139669363201691,-0.138722450919052,0.0470930269120934,0.19857734906008,-0.171385216170327,-0.0640439683388617,-0.178429695410148,0.136211790800787,-0.159067544029054,-0.132511412642771
healthy,-0.0200998152443453,-0.0775848336200725,-0.144480822806858,0.0624095681678839,0.0205618243600642,-0.219984589981893,-0.0537521574520498,-0.163693588729378,-0.103463754666569,0.13723664698251,0.168988574861572,-0.100752832390448,-0.183154384572492,0.0435096142807597,-0.0654553107792073,0.0640879802614439,0.0084098920673936,-0.174224748964581,-0.0712861494576388,-0.0962888050919005,0.0719980448051582,-0.0968745342032123,-0.0271089395950904,0.144628289427583,0.130624608049625,-0.234077539477976,-0.105283938595628,0.151135407448699,0.104488635095444,-0.0685310296702182,-0.0820707826954476,-0.254808398277947,-0.225223406968653,-0.091979976422194,-0.117786131642558,0.148816040985448,0.0712593981253855,-0.0554461987420777,-0.314426853098754,0.0234477432959821,-0.285830048609114,-0.0753371317813899,-0.172271484826645,-0.14303839820823,0.312829332125715,-0.121076702824219,-0.0448992283987212,-0.136063513360366,-0.0984872832207211
healthy,0.104901572648117,-0.0182757153583235,-0.131535969069587,0.0578699881556329,0.0651524746491245,-0.179654477213284,-0.0610789381757658,-0.140003473569976,-0.157605718863254,0.141812149978084,0.232119092351683,-0.0501014049966582,-0.0847171541428883,0.0213812204724278,-0.0423080717862113,-0.0612533291822603,0.0161781591105344,-0.0112553070470961,0.138234369774309,0.141334400735623,-0.0155059559705547,-0.0749048591730498,0.0591135813127337,0.0817412902322206,0.0940584368118183,0.0154458971043824,-0.0911937377288098,0.0685993081594621,0.123216281049936,-0.0688008644530077,-0.0736247272595926,0.0271230502950257,0.0289442820838168,-0.142159724069144,0.00982778225892,0.127917127427851,0.0301738313996849,-0.0500227443274238,0.0573865783834655,-0.104771664288214,-0.186677540422312,0.140463420897247,0.189540872457409,0.0848168327023554,0.0019705583848379,-0.0513763065558494,0.0301826499962015,-0.138289241230765,-0.146938362614465
healthy,-0.0386722905065638,0.107762257641046,-0.0150808872682426,0.124818705091111,-0.0538160246216968,-0.0713075580759218,0.0363662182876172,-0.309567577933222,-0.216179256728463,0.0205952694244109,0.134066840840296,-0.0550653962284371,-0.0509060160998396,-0.269937253054471,-0.317484274314117,-0.0163855890063784,-0.0718153767167285,0.0101739370616562,-0.0580992529221365,0.0014226337687276,0.144875744029151,0.0100144966809967,-0.076778176867374,0.0307082883685381,-0.003377307017606,0.107501332252056,-0.0441273747526599,0.0021944340352093,-0.0572652555745938,-0.0588085503903972,0.0632252929474428,-0.0835205061212923,0.0231179174760119,-0.0643857214287343,0.0966528428980913,0.0518260031767802,-0.0670198674268432,-0.0100087759369528,0.115864357923249,-0.0706936883025965,-0.142121874703574,0.0883969145291489,-0.00997145226581,0.0019359627977342,0.172985218702066,0.0602249940878199,-0.0449517265835655,-0.0478489454701031,-0.323996602357955
moderate,-0.0537399636686035,0.0481002180525602,-0.0411891533755971,0.0397514935029681,-0.240588221164173,-0.306059172553788,0.191889968288563,-0.138506449216479,-0.198658455126918,0.20524079867598,0.0092319150498573,-0.157033647244464,-0.0661996825647217,-0.371680622773044,-0.235617799290483,-0.155623710840453,0.190887962922791,0.109305715770491,0.225906664283082,0.34721664196525,0.240794166931051,0.479469468760568,0.0415535189631504,0.167869562978659,0.0906913868411344,0.172087490704141,-0.100659954057132,-0.246049744481956,0.122636743680323,-0.0367771613697879,-0.0755622939666362,0.108695799460891,0.209597343744553,-0.123024872240978,0.0361553635736371,-0.0475180252115783,-0.0711423809697933,0.148411648504207,0.0452050958297178,0.184487802167506,-0.0914319995027917,0.0603579516773173,0.340895691120302,0.0938162178039561,0.282585315625214,0.0271927622189278,0.0416960968017583,-0.304672999122878,-0.24168527842235
moderate,-0.246047018091786,0.0659994965830963,0.0071991857845623,0.0797089627661185,-0.210569067123707,0.0227857755288114,0.212119726741399,0.0351753282446111,-0.226673105453493,0.0935349685972323,0.0553410203493455,-0.0015619920397303,-0.169270152874867,-0.0631435105604598,-0.0369800066511108,0.0291614000889314,-0.0951442313455005,0.0654958115966441,0.0057718887957049,-0.0151935821322042,-0.0588102903881838,0.0979883947894359,-0.25580319433482,-0.0543197495334908,-0.117685850037555,0.107149285568917,-0.0369411274246361,0.0171178587643699,-0.185532198106398,0.218149183060149,0.0573877577220866,-0.0542769882662486,0.0225212673874247,-0.0560026730250093,0.0072165569366836,0.175248868175908,-0.209942274389885,0.10262900200794,-0.132918370215033,-0.0412028239367106,-0.0208058170997783,0.0253679208272059,-0.159058032904315,-0.137963591955352,0.146645207550177,-0.188673357275315,-0.172384490671209,-0.0512056666186139,-0.139243939976772
moderate,-0.161648521954611,0.0921815054127205,0.0852687833504671,0.188893560568185,0.171938948237869,-0.0631682827127698,0.0804857216164315,0.0760018708382089,0.0790634099411812,-0.039898995139742,0.0045036181310762,-0.207238189145275,0.200966124363363,0.088428108959871,-0.0940529898591705,0.198575887564037,-0.139774952028041,-0.430863926407505,0.0741969277275508,-0.0958536569200653,0.237314947941643,0.0411097923885376,0.177753775768764,-0.101782399917026,0.147785005983526,0.0325262976542551,0.0988335009670314,-0.0697704285290496,0.0825597557885165,0.118223773748108,0.207687999573018,-0.0852129696482922,0.0500793694054054,0.0296542925815852,0.29370899258976,-0.0945435727965001,-0.0390321948416497,-0.0286422191191626,0.285661804517909,0.289474578047736,-0.0314230017968798,0.178433780208771,0.217262750159033,-0.0373443179705669,-0.0641207915521724,-0.0845114349226347,-0.341402288717977,0.0751973358261452,-0.119092937126332
severe,-0.0618437190148968,0.140689369527276,0.0087086954175152,0.143140043808156,-0.175225127636433,0.0197130921884128,-0.129836401090322,-0.0169011166622005,-0.140203801426517,-0.0354308916302753,0.0680049645042537,-0.11288446484844,-0.0120854565888092,-0.0114016797624279,-0.120407782235411,-0.0636574792934824,-0.067460416015396,0.0127902948954967,0.0636237644385107,0.0117414661492083,0.0021308365368948,-0.0553779682094878,-0.106006799299037,-0.0394455147765587,-0.0618893453528597,0.0577542472419281,0.0447631057837457,0.0345027439296557,-0.0046012945957536,-0.0040362204372432,0.123339738131822,-0.0775307711684844,0.0962346845989741,-0.0862231449691675,0.170109537245647,-0.0238417605715013,-0.0446948929659241,0.129346134342293,0.0290774137648941,-0.0043148831933109,-0.110701654678147,0.115786003186209,0.0663763061983793,0.0842748962165324,0.0914829096419716,0.0570659778492976,-0.0250118473903161,-0.0158236838702515,-0.139673101582244
severe,-0.0288362249287092,0.204370117729732,0.345131276849031,0.31105559204247,-0.0293416906628095,0.105352236282924,0.384798101506795,0.228607104392329,0.101211192858398,-0.386953270293458,0.47148963165015,-0.220718306397476,-0.420274581809189,0.220326453760869,0.10058794347187,0.530455892602491,-0.116123895851519,0.426073614157008,0.358122444990508,-0.44654454828475,0.376709807364332,0.137628768548522,0.343075248505653,-0.177372845141059,-0.326317558296647,-0.311617774561718,0.0717471060751213,0.387368130031125,-0.131846197463887,-0.0705603346202451,0.026961643344534,-0.344072287330597,-0.0730772783327651,0.33021487283365,0.178439581948626,-0.357630927138803,-0.40296728979466,-0.529222720271527,-0.113553591131498,0.08878093673599,0.204694247182906,0.300388569211411,0.110987001243521,0.15026711050453,0.0194752486616845,-0.449511787642093,-0.0216924924298997,0.132848111142776,0.158661360423699
