group,AHR,ARNTL,ASCL2,ATF2,BACH2,BATF,BCL11A,CEBPA,CEBPD,CTCF,CTCFL,E2F6,EBF1,EGR2,ELF2,EOMES,EPAS1,ESR2,ESRRA,ETV1,ETV7,FOXH1,FOXK1,FOXO3,GATA1,GATA2,GATA6,GMEB1,GRHL2,GTF2B,GTF2I,HBP1,HSF2,IRF1,IRF3,IRF4,JUNB,JUND,KLF1,KLF10,KLF3,KLF5,KLF9,KMT2A,MAFB,MAFF,MAFK,MBD2,MECOM,MEF2C,MEIS1,MITF,MYB,MYBL2,MYC,MZF1,NANOG,NFAT5,NFATC1,NFE2L2,NRF1,PAX6,PBX1,PBX3,POU2F2,RELA,REST,RUNX1,RUNX3,SMAD3,SP1,SP2,SP4,SREBF1,STAT3,STAT5A,STAT6,TBX21,TCF4,TEAD4,TFAP2A,THAP1,TP53,TP63,TP73,USF2,XBP1,ZEB1,ZKSCAN1,ZNF217,ZNF250,ZNF263,ZNF281,ZNF384
healthy,0.650064300630898,-0.669317106876453,-0.632030509501335,0.665295638744889,-0.675907637754124,0.616618387619695,-0.651685547509581,0.620680949016715,0.648378871803521,0.701353112867306,0.455550107297166,0.676982734197834,-0.629849842040461,-0.645721309231436,-0.652318893494826,-0.665339342706945,-0.623270779350153,0.664690298219059,0.198356201280065,0.535564272635543,0.505153503577337,0.522227813294605,0.650741618726987,-0.163594636620073,-0.665300540504733,0.40715198833428,0.581424691534559,0.624372025663664,0.643642714215589,0.674728066252246,-0.630771169098016,0.587185896131227,-0.601892786700547,0.704091195157437,0.669257697976184,-0.667183253903575,-0.588964190246848,0.70660673755066,-0.597773508617089,-0.503700085662059,0.690684382155301,-0.674085114104822,-0.0981691017999575,0.607442396161235,-0.433876666167802,0.665191667806443,-0.660515714984384,0.67069329365042,0.354658829793178,0.0646939970391027,-0.079617369487914,-0.616750636456724,-0.680176422730603,-0.481915349914553,-0.648368467630548,-0.67443277222619,0.669289650585756,0.63257731207416,-0.667472590736158,-0.662833076116595,-0.690017944464433,0.683298942429858,-0.673868737339656,-0.680869967046148,0.634640781353176,0.522493677454886,0.643910961682298,0.0571452804440787,-0.599998959070742,0.673200926726993,0.270696282956883,-0.64220681177914,0.66265754377481,0.462221689900079,-0.510511197877892,-0.672424127575764,0.597600314532735,0.644230751636431,0.431101600796836,0.674790748712918,-0.701466434690285,-0.714071231829173,-0.629430693307034,-0.706005507209451,-0.691441559250823,0.704257631892335,0.625354544274631,-0.611781987434066,-0.661108780731297,-0.650767800774642,-0.658227620683484,-0.64028065827665,-0.646142819819387,0.679457764672173
healthy,0.426180561139628,-0.336363054974353,-0.427095183061932,0.316677124416324,-0.421026422787557,0.248280594921246,-0.445089185964781,0.412449084920717,0.440223413196328,0.0795459253454536,0.105527118907226,0.433854694991127,-0.429840063753908,-0.421574767769428,0.206935624332853,-0.473599652075388,-0.414916003010973,0.374045858770176,-0.31607993616578,0.325256301834842,0.187315489463695,0.200694723252815,0.389916004112378,-0.41318741118788,-0.343519339170493,0.437998205853185,0.414030940781139,0.403126363885883,0.432182225352395,0.166798826883127,0.339978487639398,0.432458840006764,-0.384838223013118,0.332404070175372,0.418568987903361,-0.371767764316311,0.30490358136841,0.357235210916556,-0.461030756658315,-0.174614907519655,0.364794277639,-0.379956766480796,-0.0724628109030983,0.365006872723359,-0.386665167418129,0.408348597366422,-0.440117036363128,0.293244740710856,0.152607748192569,0.0903292979866624,0.43194000714275,-0.442624773470775,-0.399344118771757,-0.359751559029037,-0.436714040200401,-0.445645380757689,0.439892785498745,0.444395785989875,-0.413138123889492,-0.432651786776226,-0.452231657665137,0.46895100983767,-0.435373149751499,-0.379956766480796,0.421158410620402,0.189276895581393,0.433134034763348,-0.269003763035793,-0.423797247501464,0.458653691152571,0.399871451633177,-0.463642698025198,0.408167671115679,0.410247601450929,-0.226691521287435,-0.414215546135236,0.409325034568364,0.429792679440014,-0.152578014059854,0.320135354703982,-0.3652779845809,-0.213207591634751,-0.239924510718211,0.371676547926245,-0.432552181396182,0.421308064492631,0.400088629738525,-0.382952333663413,-0.440538991458207,-0.389833636600207,-0.339812563249748,-0.395745876399972,-0.416682020195777,-0.187194776813975
healthy,0.536882688624355,-0.540952670922772,-0.513655307566136,0.447768592582784,-0.511421454419869,0.389562729464024,-0.544056537948468,0.491706141748554,0.531690921707688,0.479222182273028,0.458620484345689,0.54430776716045,-0.501442653036692,-0.552212073403963,0.195825459869476,-0.509928566952954,-0.50427220924994,0.21192669305466,-0.418403373676415,0.487220627856071,0.451998576441436,0.135649906674836,-0.473440080468473,-0.508930407418181,-0.52693765811054,-0.377679056413068,0.474887715127407,0.45479934540188,0.466376726164058,0.460807828969567,-0.503029679843138,0.526441501803259,-0.480604896497063,0.531911150470221,0.543891929485997,-0.509235922733668,0.0746090720744431,0.517417592745282,0.219284253396676,0.277461431289426,0.518157396888806,-0.546959914472481,0.51237888171853,0.467740455555886,-0.15697601054777,0.497959866340141,-0.520030805062447,0.511630805556342,0.459294230063133,0.129686683763345,0.480807506016808,-0.521280774577117,-0.548629465260184,-0.51066779817678,-0.526503455612868,-0.504518462693581,0.537329785739354,0.52704949517501,-0.533060144850051,-0.344177686907191,-0.544403138669745,0.565015337508821,-0.532668785758341,-0.552512903335065,0.439636947093902,0.45037658583694,0.536384625200817,0.306879500075945,-0.519616050441671,0.534461168959799,0.54200354691804,-0.520320922180005,0.517149238728058,0.516714510399979,0.497534626504057,-0.49105870324796,0.506825798677366,0.529459917463484,-0.507897629406819,0.552136016351908,-0.541774088654608,0.0392191002505871,-0.474357599593603,-0.490559847154702,-0.542057738842964,0.55103937741468,0.521976047948445,-0.450322017197694,-0.529995299149587,-0.492499070459756,-0.521722754655904,-0.338182129349692,-0.481506232602758,0.544207780900707
healthy,0.635899592844425,-0.705784506900831,-0.638326647357908,0.73562722018519,-0.650203206981413,0.587823515254914,-0.667282404579789,0.623564860341684,0.593673548732348,0.531893295931506,0.501950566868042,0.659721644548641,-0.675459139442371,0.632133599717434,-0.655870569411044,-0.687028315137155,-0.707645834841304,0.553596018262506,-0.616581738147775,0.685491225310219,0.699152869896223,0.461471574640321,-0.578260571849423,0.174425685485471,-0.679989493386791,-0.562616663787832,0.637320522770239,-0.631300967261061,0.604753007886116,0.681978080199119,0.370856852106328,0.633336123837178,-0.624880877070725,0.663686853319423,0.656399098494006,-0.20742846270992,-0.657468103891985,0.750294653820094,-0.0770782075970257,-0.583184487665554,0.751105238120474,-0.689242312549811,0.680119468070824,0.508361937154078,-0.31096558010638,0.668392210043786,-0.666386778581735,0.730983070801697,-0.523136882359363,0.4740859807594,0.616708660153189,-0.671907405441605,-0.733491116166745,-0.682865976011548,-0.658626172142188,-0.715505900765643,0.65702528649796,0.551103276362091,-0.688315870936689,-0.725180388603712,-0.678225059507891,0.67437987730011,-0.710630098433036,-0.69552240196456,0.534592071309697,0.668671201599121,0.665467779170244,0.607466253072003,-0.565814873416737,0.673653294165127,0.516026831521682,-0.656392143668473,0.689399157250934,-0.635677795320742,0.0017009300286162,-0.598995814727408,0.583993317870632,0.6902609845977,0.673534729730419,-0.210906372749985,-0.676800618011946,0.49423956211095,-0.653247925727825,-0.588365558704961,-0.703706443847686,0.669101162306189,0.678231889411616,0.683519815186158,-0.687727927593418,-0.496161850324717,-0.642707148360143,-0.702443013647781,-0.701229610830058,0.561470983194493
healthy,0.642929797069498,0.0585348901197409,-0.603436310910467,0.705888652480726,0.235280208368198,0.564252358263569,-0.658866612229462,0.65591493440227,0.621466457001774,0.728672499483717,0.451775229128654,0.725665800572454,-0.573534155657901,0.18199654871673,-0.558644837739554,-0.589332350057827,-0.196797248776388,0.50418880251149,-0.71522097854322,-0.545724291731445,0.59005161282149,0.193865682217969,0.513005575217207,-0.247679094600437,-0.676410742415085,-0.508361882523626,0.612767302828203,0.51283387886152,0.624003664500433,0.308110437542929,-0.0425787105918528,0.651803986630924,-0.562187002163977,0.708561699588968,0.727636064449251,-0.66253937786428,-0.319838771058683,0.706815673881547,0.478106613837842,-0.64274686141592,0.669960108469268,-0.660119329195895,-0.648314842991004,0.4936980525031,-0.432853076054646,0.638566380295383,-0.672299894658718,0.692436814979059,0.364445923047419,0.4284928258098,0.520660159193025,-0.633198401150005,-0.691803004462384,-0.64046994060458,-0.574592537098357,-0.726210762003149,0.677368806079518,0.665370032979787,-0.677498831056826,-0.633156059028974,-0.731997741513284,0.683536780262623,-0.701282604874467,-0.657791866870433,0.588864015699239,0.615267289156237,0.60635414146681,0.430351064652692,-0.570347137081164,0.612529606680039,0.680452412838882,-0.64721870176715,0.53373901056054,0.521198201238839,-0.198936660003276,-0.609224652092417,0.634207209111222,0.650476931008495,0.638833274394255,0.714010664257346,-0.504582481652911,-0.716785256848411,-0.485614450148453,-0.525276938681734,-0.724508286854618,0.692117773621,0.703548425858344,-0.34690424368755,-0.641890380854622,0.427503895137361,-0.635469871603808,0.671328161974717,-0.627803568441716,0.724261069096998
moderate,0.325260466892081,-0.616251003857434,-0.702537509827943,0.216290455944737,0.429798749222691,0.749747455902729,-0.66204027112365,0.741969239425808,0.761957400996384,-0.635876103065819,-0.727845324270608,0.734459373390506,-0.704329143658751,-0.764857953563881,-0.719771133041902,-0.701053689738992,-0.650019749871138,0.704459372549536,0.656550926060536,0.737209965417099,0.496764023396648,0.292529605674637,0.716815331854072,-0.769921094984423,-0.406468046121952,-0.776649587675012,0.529072627301544,0.702932142830323,0.758524093875673,0.664293625567243,0.724723777221778,0.496247054163529,-0.750962925550061,0.672371763125973,0.752553296549655,-0.642644059056645,-0.713046586681337,0.731511464862724,-0.763879263717977,0.717675631799261,0.637505937365651,-0.543145240166435,0.724293627249183,0.700710359026921,-0.705828749067797,0.721590391182876,-0.702225749756062,0.723677999765469,0.756258900442008,0.783299153765124,0.77097476510078,-0.744577763571544,-0.695307833224331,-0.668046585419882,-0.661681155091484,-0.708650375034818,0.749518568761348,0.152928181082514,-0.355098668202075,0.665505148884551,-0.72906079391794,0.705370974785035,-0.771116832981636,-0.762470423899478,-0.126290453421827,-0.67398581210571,0.737979499771741,-0.769068687699281,0.251862674779321,0.737186287436956,-0.704412016589251,-0.800051324716179,0.602790072146233,0.759187077319672,0.751839010815346,0.284139708044026,-0.306187853887028,-0.418539869664774,0.727213911466799,0.763346509164763,-0.570943188854122,-0.163015000623361,-0.741010281230024,-0.615465684182696,-0.759368608500767,0.553393859238258,0.684996072872127,-0.486720613486063,-0.692525670557548,0.694822434631403,-0.665702465385742,0.630201280491586,-0.689226538657647,0.707513831987962
moderate,0.423367560784374,-0.59837212632516,0.289846025635906,0.189615614633453,-0.533756712127217,-0.0954171416860176,-0.544167455585943,0.557629495338592,0.250043503843409,-0.0474368016264247,-0.502222117033909,0.60016280214187,-0.522537334272047,-0.544363048250147,-0.504335372452039,-0.514840692690832,-0.554400909045969,-0.574582270969218,-0.617897831354694,0.502826944030352,0.0520080386796126,0.0101753649363498,0.572939284784927,-0.575740509691735,-0.46427171572089,0.540169864655555,0.492386424593416,0.42226276662563,0.504022529556469,0.512238533661938,0.362372347481068,0.56810353714156,-0.304933646479424,0.594826287326302,0.586737640894343,-0.188197411718479,-0.537763532440104,0.627719865089586,-0.632337717353746,-0.125350214522751,0.609966903947551,-0.159147452248588,0.399756419835002,0.339957982316443,-0.521109492213405,0.604893514339166,-0.620141156675017,-0.0964077685783753,0.60232558012402,-0.387654787160198,0.121286183745833,-0.515376172487696,-0.562263855124093,-0.2175226331311,-0.591464801828183,-0.569572765078172,0.568749906115466,-0.512996884509335,-0.570251329572423,-0.493750187810353,-0.630584681027184,0.604449411282772,-0.574062166972374,-0.604594915522294,-0.221562995322455,-0.35248026409888,0.350440121780588,-0.599637293200095,-0.322069312178046,0.539772142660894,0.504422807680321,-0.638184482385689,0.312790036378859,0.211307492809101,0.502349572269602,-0.52590073198895,-0.536194303266057,0.505588968452086,0.603608756977912,0.622198957748406,-0.571949887176073,-0.625772172695775,-0.341676266993468,-0.34164204217972,-0.603637069523379,0.502848544297638,0.193825091112584,-0.593327732197521,-0.582729708372571,0.528484783476705,-0.584483447146849,0.550003761951883,-0.399934119594869,0.62994217551572
moderate,0.493223859556846,-0.416542902119104,0.516730057950806,0.237856808968833,0.415343358464256,0.557780228804706,-0.58020902666608,0.633300283139625,0.257748110637259,0.563181698250447,0.452518867640057,0.529777222114186,-0.530663930960342,-0.497445948894772,-0.564534304964922,-0.550381706192414,-0.585074438094722,0.435279147363773,-0.220223299866032,-0.13561507014773,0.32772472616555,0.254817200404914,-0.51034454744396,0.408556375994942,-0.511581007630085,-0.320108639630356,0.552017239703441,-0.366290433203918,0.523483871760039,0.559181482887299,0.0289875349748788,-0.422214780471605,-0.335295763288973,0.577008607016062,0.59133023477949,-0.476605536324784,-0.155201819802805,0.646933464443142,0.526925729272474,-0.605303535394003,0.559364304044218,-0.555192736010008,-0.42787830107134,0.364524511253997,0.596752542389079,0.505711354114595,-0.607618145686952,0.617404099729522,0.18679963462925,0.223521014252286,-0.147248649732283,-0.564009078295577,-0.500641458833523,-0.529709910347514,-0.531266401255027,-0.396782700985099,0.631097584280575,0.370942403367973,-0.4231589816619,-0.518465547186619,-0.084600996326895,0.565982482394883,-0.509253092394392,-0.510957024554737,-0.493318493304534,0.529343218629741,0.58370290463071,0.465620413414485,-0.309984964914355,0.514680984332062,0.422419151887898,-0.512712302550462,0.445139309256015,0.159161295806058,-0.537895111123752,-0.596607949518354,-0.385102797712568,0.569537713010984,-0.283441229352536,0.596883605444787,-0.558463428244943,0.468417712038709,-0.17175388067213,-0.449639303243091,-0.610039045607007,0.55585494737155,0.546791358023211,0.141859061038232,-0.542920181865325,0.300049658204641,-0.584452703742092,-0.505039848032488,-8.50766761390345e-05,-0.0908909361182544
severe,0.611897362310407,-0.181549012793073,0.274441511469611,0.450813310017534,-0.406081408179012,0.66181623589321,-0.669363292490486,-0.0639989038318861,0.52858074208841,0.61852700899983,0.0695268140752374,0.657430076041949,-0.550732479003625,-0.0291223221037088,-0.0980998463748878,-0.484263123984028,-0.689520317797501,0.207856419390985,-0.253341944544794,0.602607649166534,0.330986095943867,0.549817815954771,0.62586907611955,-0.42263176662212,-0.632405001619834,0.490637189792834,0.373945535765756,-0.499819529448363,0.614394257140723,0.390281147232176,-0.375303919037727,0.634117688704813,-0.249475638008614,0.641233939416057,0.65122582351635,-0.474368486891888,-0.325154760275838,0.659795941598211,0.614957117248196,-0.602319843940046,0.585202484602018,-0.648543413208846,0.669859326028275,-0.637779743725556,0.190313296908075,0.624338542684327,-0.644585353382512,0.454780799359836,0.380752908332219,-0.61591753394844,0.616708875327596,-0.476120736946034,0.474237252628356,-0.568246943957574,-0.437315449884709,-0.641206634817647,0.667185689270411,-0.381966774022513,-0.232219213809013,-0.577323509042684,0.424106501921552,0.665266782771011,-0.486637722092034,-0.596261543922466,0.0065966023856406,0.0014860097206974,0.474900721571413,0.190157422909341,-0.506839148119888,0.592282698163109,0.599190392579888,-0.579041033879333,0.209247436987783,0.478272757479311,0.238715576340129,-0.535893536710735,0.345379514106238,0.612672796506105,0.301948639483866,0.622834452891709,-0.667264733212956,0.343269393422174,-0.464078876074393,-0.662096251519551,-0.548020222228189,0.597950083246989,-0.0920010404365436,0.480908840164887,-0.171688854931057,-0.413387807129637,-0.545604708220463,-0.463045483120139,-0.663042687937426,0.649375465498245
severe,0.727646465459127,-0.394584120662075,-0.609607279026818,0.628995865241774,-0.73451293042931,0.72408010178077,-0.713277271258349,0.556484927570475,0.690549817580349,-0.559023725777935,0.288150811779102,0.535964788249662,-0.755087055641479,-0.615416745462251,-0.713360731571493,-0.712427324332967,0.306341796265758,0.67440471364399,0.0574593651124106,-0.574939499963856,0.718102873774367,0.701062894409069,0.327683579898328,-0.603625170784066,-0.783299440037748,-0.0009806931443874,0.723220932035848,0.722439101629667,0.585382668096185,0.702123091290804,-0.210727144208392,0.754588361659373,-0.676377087357538,0.594031246492222,0.591849132903522,-0.713866042823224,0.632794067718635,0.729261658258693,-0.665863004152396,-0.412003145503074,0.688607318081961,-0.784912744158275,0.282475772418903,0.566294629996005,-0.58548720717028,0.688703103059782,-0.649700102517942,0.723016292972698,0.567504859680505,-0.656569696905218,-0.69176652667469,-0.734453788582038,-0.778946241643055,-0.739973280748117,-0.700050755447985,-0.666129831764041,0.740362003980644,0.705637440472714,-0.744854868122357,-0.766483276031533,-0.436118943706313,0.672306570449634,-0.736728213082005,-0.708627315892938,0.700819930326008,0.714775007522073,0.665167915122214,0.584623377764664,-0.724931785739429,0.599464893370896,0.353965224235772,-0.631738654571399,0.70159339264331,0.762635292386723,0.731456055154134,0.734137041942659,0.750682035754037,0.735537338911157,-0.35727793969782,0.686376691635324,-0.692157372947889,-0.246340145093356,-0.510922434439155,-0.607617038685283,-0.543998829087222,0.469619257189725,0.724245698953133,-0.711292228230666,-0.72064019688214,-0.721416609398815,-0.72221445911188,-0.66208942343293,-0.682973884804528,0.731840656379125
