TF_name	target_id	target_name	target_synonyms
FOXP2	ENSG00000001617	SEMA3F	SEMA-IV,SEMA4,SEMAK
FOXP2	ENSG00000002822	MAD1L1	MAD1,PIG9,TP53I9,TXBP181
FOXP2	ENSG00000004399	PLXND1	PLEXD1
FOXP2	ENSG00000006016	CRLF1	CISS,CISS1,CLF,CLF-1,NR6,zcytor5
FOXP2	ENSG00000007384	RHBDF1	C16orf8,Dist1,EGFR-RS,gene-89,gene-90,hDist1
FOXP2	ENSG00000008294	SPAG9	CT89,HLC-6,HLC4,HLC6,JIP-4,JIP4,JLP,PHET,PIG6
FOXP2	ENSG00000009790	TRAF3IP3	T3JAM
FOXP2	ENSG00000012061	ERCC1	COFS4,RAD10,UV20
FOXP2	ENSG00000013523	ANGEL1	Ccr4e,KIAA0759
FOXP2	ENSG00000015413	DPEP1	MBD1,MDP,RDP
FOXP2	ENSG00000023191	RNH1	RAI,RNH
FOXP2	ENSG00000025434	NR1H3	LXR-a,LXRA,RLD-1
FOXP2	ENSG00000026036	RTEL1-TNFRSF6B	-
FOXP2	ENSG00000031081	ARHGAP31	AOS1,CDGAP
FOXP2	ENSG00000037757	MRI1	M1Pi,MRDI,MTNA,Ypr118w
FOXP2	ENSG00000039987	BEST2	VMD2L1
FOXP2	ENSG00000042753	AP2S1	AP17,CLAPS2,FBH3,FBHOk,HHC3
FOXP2	ENSG00000047346	FAM214A	KIAA1370
FOXP2	ENSG00000049541	RFC2	RFC40
FOXP2	ENSG00000053438	NNAT	Peg5
FOXP2	ENSG00000063180	CA11	CARPX1
FOXP2	ENSG00000064601	CTSA	GLB2,GSL,NGBE,PPCA,PPGB
FOXP2	ENSG00000064932	SBNO2	KIAA0963,SNO,STNO
FOXP2	ENSG00000065054	SLC9A3R2	E3KARP,NHE3RF2,NHERF-2,NHERF2,OCTS2,SIP-1,SIP1,TKA-1
FOXP2	ENSG00000065057	NTHL1	FAP3,NTH1,OCTS3,hNTH1
FOXP2	ENSG00000065526	SPEN	HIAA0929,MINT,RBM15C,SHARP
FOXP2	ENSG00000065717	TLE2	ESG,ESG2,GRG2
FOXP2	ENSG00000065802	ASB1	ASB-1
FOXP2	ENSG00000065882	TBC1D1	TBC,TBC1
FOXP2	ENSG00000067182	TNFRSF1A	CD120a,FPF,TBP1,TNF-R,TNF-R-I,TNF-R55,TNFAR,TNFR1,TNFR55,TNFR60,p55,p55-R,p60
FOXP2	ENSG00000067221	STOML1	SLP-1,STORP,hUNC-24
FOXP2	ENSG00000068001	HYAL2	LUCA2
FOXP2	ENSG00000069399	BCL3	hsa-mir-8085
FOXP2	ENSG00000070366	SMG6	C17orf31,EST1A,SMG-6,hSMG5/7a
FOXP2	ENSG00000070388	FGF22	-
FOXP2	ENSG00000070423	RNF126	-
FOXP2	ENSG00000071246	VASH1	KIAA1036
FOXP2	ENSG00000072110	ACTN1	BDPLT15
FOXP2	ENSG00000074276	CDHR2	PCDH24,PCLKC
FOXP2	ENSG00000074416	MGLL	HU-K5,HUK5,MAGL,MGL
FOXP2	ENSG00000075413	MARK3	CTAK1,KP78,PAR1A,Par-1a
FOXP2	ENSG00000075618	FSCN1	FAN1,HSN,SNL,p55
FOXP2	ENSG00000076108	BAZ2A	TIP5,WALp3
FOXP2	ENSG00000076356	PLXNA2	OCT,PLXN2
FOXP2	ENSG00000077454	LRCH4	LRN,LRRN1,LRRN4,PP14183
FOXP2	ENSG00000078487	ZCWPW1	ZCW1
FOXP2	ENSG00000078699	CBFA2T2	EHT,MTGR1,ZMYND3,p85
FOXP2	ENSG00000079313	REXO1	MIRN1909,hsa-mir-1909,mir-1909
FOXP2	ENSG00000079432	CIC	-
FOXP2	ENSG00000080031	PTPRH	R-PTP-H,SAP1
FOXP2	ENSG00000081913	PHLPP1	PHLPP,PLEKHE1,PPM3A,SCOP
FOXP2	ENSG00000085872	CHERP	DAN16,SCAF6,SRA1
FOXP2	ENSG00000087365	SF3B2	Cus1,SAP145,SF3B145,SF3b1,SF3b150
FOXP2	ENSG00000088826	SMOX	C20orf16,PAO,PAO-1,PAO1,PAOH,PAOH1,SMO
FOXP2	ENSG00000089597	GANAB	G2AN,GIIA,GLUII,PKD3
FOXP2	ENSG00000090447	TFAP4	AP-4,bHLHc41
FOXP2	ENSG00000090924	PLEKHG2	ARHGEF42,CLG,LDAMD
FOXP2	ENSG00000091136	LAMB1	CLM,LIS5
FOXP2	ENSG00000092929	UNC13D	FHL3,HLH3,HPLH3,Munc13-4
FOXP2	ENSG00000095066	HOOK2	HK2
FOXP2	ENSG00000096060	FKBP5	AIG6,FKBP51,FKBP54,P54,PPIase,Ptg-10
FOXP2	ENSG00000099622	CIRBP	CIRP
FOXP2	ENSG00000099797	TECR	MIRN639,hsa-mir-639
FOXP2	ENSG00000099821	POLRMT	APOLMT,MTRNAP,MTRPOL,h-mtRPOL
FOXP2	ENSG00000099889	ARVCF	-
FOXP2	ENSG00000099991	CABIN1	CAIN,KB-318B8.7,PPP3IN
FOXP2	ENSG00000100060	MFNG	-
FOXP2	ENSG00000100065	CARD10	BIMP1,CARMA3
FOXP2	ENSG00000100083	GGA1	-
FOXP2	ENSG00000100092	SH3BP1	ARHGAP43
FOXP2	ENSG00000100138	NHP2L1	15.5K,FA-1,FA1,NHP2L1,NHPX,OTK27,SNRNP15-5,SPAG12,SSFA1
FOXP2	ENSG00000100280	AP1B1	ADTB1,AP105A,BAM22,CLAPB2
FOXP2	ENSG00000100307	CBX7	-
FOXP2	ENSG00000100320	RBFOX2	FOX2,Fox-2,HNRBP2,HRNBP2,RBM9,RTA,dJ106I20.3,fxh
