TF_name	target_id	target_name	target_synonyms
MEF2A	ENSG00000000938	FGR	SRC2,c-fgr,c-src2,p55-Fgr,p55c-fgr,p58-Fgr,p58c-fgr
MEF2A	ENSG00000002586	CD99	HBA71,MIC2,MIC2X,MIC2Y,MSK5X
MEF2A	ENSG00000003402	CFLAR	CASH,CASP8AP1,CLARP,Casper,FLAME,FLAME-1,FLAME1,FLIP,I-FLICE,MRIT,c-FLIP,c-FLIPL,c-FLIPR,c-FLIPS
MEF2A	ENSG00000004866	ST7	hsa-mir-6132
MEF2A	ENSG00000005379	BZRAP1	BZRAP1,PBR-IP,PRAX-1,PRAX1,RIM-BP1,RIMBP1
MEF2A	ENSG00000006118	TMEM132A	GBP,HSPA5BP1
MEF2A	ENSG00000006327	TNFRSF12A	CD266,FN14,TWEAKR
MEF2A	ENSG00000006712	PAF1	F23149_1,PD2
MEF2A	ENSG00000007047	MARK4	MARK4L,MARK4S,MARKL1,MARKL1L,PAR-1D
MEF2A	ENSG00000007202	KIAA0100	BCOX,BCOX1,CT101,FMP27
MEF2A	ENSG00000008294	SPAG9	CT89,HLC-6,HLC4,HLC6,JIP-4,JIP4,JLP,PHET,PIG6
MEF2A	ENSG00000010017	RANBP9	BPM-L,BPM90,RANBPM,RanBP7
MEF2A	ENSG00000010610	CD4	CD4mut
MEF2A	ENSG00000010704	HFE	HFE1,HH,HLA-H,MVCD7,TFQTL2
MEF2A	ENSG00000010818	HIVEP2	HIV-EP2,MBP-2,MIBP1,MRD43,SHN2,ZAS2,ZNF40B
MEF2A	ENSG00000011523	CEP68	KIAA0582
MEF2A	ENSG00000012061	ERCC1	COFS4,RAD10,UV20
MEF2A	ENSG00000012983	MAP4K5	GCKR,KHS,KHS1,MAPKKKK5
MEF2A	ENSG00000015133	CCDC88C	DAPLE,HKRP2,KIAA1509,SCA40
MEF2A	ENSG00000016864	GLT8D1	AD-017,MSTP139
MEF2A	ENSG00000017797	RALBP1	RIP1,RLIP1,RLIP76
MEF2A	ENSG00000018189	RUFY3	RIPX,SINGAR1,ZFYVE30
MEF2A	ENSG00000019582	CD74	DHLAG,HLADG,II,Ia-GAMMA
MEF2A	ENSG00000023445	BIRC3	AIP1,API2,CIAP2,HAIP1,HIAP1,MALT2,MIHC,RNF49,c-IAP2
MEF2A	ENSG00000024862	CCDC28A	C6orf80,CCRL1AP
MEF2A	ENSG00000026025	VIM	CTRCT30,HEL113
MEF2A	ENSG00000026751	SLAMF7	19A,CD319,CRACC,CS1
MEF2A	ENSG00000028277	POU2F2	OCT2,OTF2,Oct-2
MEF2A	ENSG00000028528	SNX1	HsT17379,VPS5
MEF2A	ENSG00000029364	SLC39A9	ZIP-9,ZIP9
MEF2A	ENSG00000031081	ARHGAP31	AOS1,CDGAP
MEF2A	ENSG00000033011	ALG1	CDG1K,HMAT1,HMT-1,HMT1,MT-1,Mat-1,hMat-1
MEF2A	ENSG00000033030	ZCCHC8	-
MEF2A	ENSG00000033800	PIAS1	DDXBP1,GBP,GU/RH-II,ZMIZ3
MEF2A	ENSG00000035403	VCL	CMD1W,CMH15,HEL114,MV,MVCL
MEF2A	ENSG00000035664	DAPK2	DRP-1,DRP1
MEF2A	ENSG00000039523	FAM65A	-
MEF2A	ENSG00000044446	PHKA2	GSD9A,PHK,PYK,PYKL,XLG,XLG2
