TF_name	target_id	target_name	target_synonyms
RFX2	ENSG00000001460	STPG1	C1orf201,MAPO2
RFX2	ENSG00000002330	BAD	BBC2,BCL2L8
RFX2	ENSG00000004838	ZMYND10	BLU,CILD22,FLU
RFX2	ENSG00000005448	WDR54	-
RFX2	ENSG00000005486	RHBDD2	NPD007,RHBDL7
RFX2	ENSG00000006007	GDE1	363E6.2,MIR16
RFX2	ENSG00000006062	MAP3K14	FTDCR1B,HS,HSNIK,NIK
RFX2	ENSG00000006712	PAF1	F23149_1,PD2
RFX2	ENSG00000008853	RHOBTB2	DBC2
RFX2	ENSG00000009780	FAM76A	-
RFX2	ENSG00000009830	POMT2	LGMD2N,MDDGA2,MDDGB2,MDDGC2
RFX2	ENSG00000010219	DYRK4	-
RFX2	ENSG00000010361	FUZ	FY,NTD
RFX2	ENSG00000010626	LRRC23	LRPB7
RFX2	ENSG00000011485	PPP5C	PP5,PPP5,PPT
RFX2	ENSG00000012061	ERCC1	COFS4,RAD10,UV20
RFX2	ENSG00000013503	POLR3B	C128,HLD8,INMAP,RPC2
RFX2	ENSG00000013523	ANGEL1	Ccr4e,KIAA0759
RFX2	ENSG00000014164	ZC3H3	ZC3HDC3
RFX2	ENSG00000032219	ARID4A	RBBP-1,RBBP1,RBP-1,RBP1
RFX2	ENSG00000034713	GABARAPL2	ATG8,ATG8C,GATE-16,GATE16,GEF-2,GEF2
RFX2	ENSG00000036672	USP2	UBP41,USP9
RFX2	ENSG00000038358	EDC4	GE1,Ge-1,HEDL5,HEDLS,RCD-8,RCD8
RFX2	ENSG00000039650	PNKP	AOA4,EIEE10,MCSZ,PNK
RFX2	ENSG00000040633	PHF23	hJUNE-1b
RFX2	ENSG00000047578	KIAA0556	JBTS26
RFX2	ENSG00000049541	RFC2	RFC40
RFX2	ENSG00000050438	SLC4A8	NBC3,NDCBE
RFX2	ENSG00000052749	RRP12	KIAA0690
RFX2	ENSG00000053254	FOXN3	C14orf116,CHES1,PRO1635
RFX2	ENSG00000061656	SPAG4	CT127,SUN4
RFX2	ENSG00000063322	MED29	IXL,MED2
RFX2	ENSG00000064012	CASP8	ALPS2B,CAP4,Casp-8,FLICE,MACH,MCH5
RFX2	ENSG00000064547	LPAR2	EDG-4,EDG4,LPA-2,LPA2
RFX2	ENSG00000064961	HMG20B	BRAF25,BRAF35,HMGX2,HMGXB2,PP7706,SMARCE1r,SOXL,pp8857
RFX2	ENSG00000065000	AP3D1	ADTD,HPS10,hBLVR
RFX2	ENSG00000065621	GSTO2	GSTO 2-2,bA127L20.1
RFX2	ENSG00000067369	TP53BP1	53BP1,TDRD30,TP53,p202,p53BP1
RFX2	ENSG00000067606	PRKCZ	PKC-ZETA,PKC2
RFX2	ENSG00000068001	HYAL2	LUCA2
RFX2	ENSG00000068028	RASSF1	123F2,NORE2A,RASSF1A,RDA32,REH3P21
RFX2	ENSG00000068724	TTC7A	GIDID,MINAT,TTC7
RFX2	ENSG00000068745	IP6K2	IHPK2,PIUS
RFX2	ENSG00000070366	SMG6	C17orf31,EST1A,SMG-6,hSMG5/7a
RFX2	ENSG00000070444	MNT	MAD6,MXD6,ROX,bHLHd3
RFX2	ENSG00000072682	P4HA2	-
RFX2	ENSG00000072778	ACADVL	ACAD6,LCACD,VLCAD
RFX2	ENSG00000072818	ACAP1	CENTB1
RFX2	ENSG00000072958	AP1M1	AP47,CLAPM2,CLTNM,MU-1A
RFX2	ENSG00000074356	C17orf85	C17orf85,ELG,HSA277841
RFX2	ENSG00000075399	VPS9D1	ATP-BL,C16orf7
RFX2	ENSG00000075568	TMEM131	CC28,PRO1048,RW1,YR-23
RFX2	ENSG00000076604	TRAF4	CART1,MLN62,RNF83
RFX2	ENSG00000077235	GTF3C1	TFIIIC,TFIIIC220,TFIIICalpha
RFX2	ENSG00000077454	LRCH4	LRN,LRRN1,LRRN4,PP14183
RFX2	ENSG00000077935	SMC1B	SMC1BETA,SMC1L2
RFX2	ENSG00000078246	TULP3	TUBL3
RFX2	ENSG00000078668	VDAC3	HD-VDAC3,VDAC-3
RFX2	ENSG00000079387	SENP1	SuPr-2
RFX2	ENSG00000081181	ARG2	-
RFX2	ENSG00000081248	CACNA1S	CACNL1A3,CCHL1A3,Cav1.1,HOKPP,HOKPP1,MHS5,TTPP1,hypoPP
RFX2	ENSG00000083812	ZNF324	ZF5128,ZNF324A
RFX2	ENSG00000083838	ZNF446	ZKSCAN20,ZSCAN30,ZSCAN52
RFX2	ENSG00000083845	RPS5	S5
RFX2	ENSG00000084444	KIAA1467	KIAA1467
RFX2	ENSG00000084623	EIF3I	EIF3S2,PRO2242,TRIP-1,TRIP1,eIF3-beta,eIF3-p36
RFX2	ENSG00000084652	TXLNA	IL14,TXLN
RFX2	ENSG00000085552	IGSF9	FP18798,IGSF9A,Nrt1
RFX2	ENSG00000085644	ZNF213	CR53,ZKSCAN21,ZSCAN53
RFX2	ENSG00000085788	DDHD2	SAMWD1,SPG54,iPLA(1)gamma
RFX2	ENSG00000085872	CHERP	DAN16,SCAF6,SRA1
RFX2	ENSG00000086200	IPO11	-
RFX2	ENSG00000087008	ACOX3	-
RFX2	ENSG00000087074	PPP1R15A	GADD34
RFX2	ENSG00000087903	RFX2	-
RFX2	ENSG00000089094	KDM2B	hsa-mir-7107
RFX2	ENSG00000089639	GMIP	ARHGAP46
RFX2	ENSG00000090006	LTBP4	ARCL1C,LTBP-4,LTBP4L,LTBP4S
RFX2	ENSG00000090013	BLVRB	BVRB,FLR,HEL-S-10,SDR43U1
RFX2	ENSG00000090273	NUDC	HNUDC,MNUDC,NPD011
RFX2	ENSG00000090372	STRN4	PPP2R6C,ZIN,zinedin
RFX2	ENSG00000090432	MUL1	C1orf166,GIDE,MAPL,MULAN,RNF218
RFX2	ENSG00000090487	SPG21	ACP33,BM-019,GL010,MAST
RFX2	ENSG00000090674	MCOLN1	MG-2,ML4,MLIV,MST080,MSTP080,TRP-ML1,TRPM-L1,TRPML1
RFX2	ENSG00000090971	NAT14	KLP1
RFX2	ENSG00000094914	AAAS	AAA,AAASb,ADRACALA,ADRACALIN,ALADIN,GL003
RFX2	ENSG00000094916	CBX5	mir-3198-2
RFX2	ENSG00000095066	HOOK2	HK2
RFX2	ENSG00000096996	IL12RB1	CD212,IL-12R-BETA1,IL12RB,IMD30
RFX2	ENSG00000099308	MAST3	-
RFX2	ENSG00000099326	MZF1	MZF-1,MZF1B,ZFP98,ZNF42,ZSCAN6
RFX2	ENSG00000099617	EFNA2	ELF-1,EPLG6,HEK7-L,LERK-6,LERK6
RFX2	ENSG00000099622	CIRBP	CIRP
RFX2	ENSG00000099624	ATP5D	-
