TF_name	target_id	target_name	target_synonyms
ZBTB33	ENSG00000004776	HSPB6	HEL55,Hsp20,PPP1R91
ZBTB33	ENSG00000006118	TMEM132A	GBP,HSPA5BP1
ZBTB33	ENSG00000006712	PAF1	F23149_1,PD2
ZBTB33	ENSG00000009780	FAM76A	-
ZBTB33	ENSG00000028277	POU2F2	OCT2,OTF2,Oct-2
ZBTB33	ENSG00000029534	ANK1	ANK,SPH1,SPH2
ZBTB33	ENSG00000038358	EDC4	GE1,Ge-1,HEDL5,HEDLS,RCD-8,RCD8
ZBTB33	ENSG00000048162	NOP16	HSPC111,HSPC185
ZBTB33	ENSG00000063015	SEZ6	BSRPC
ZBTB33	ENSG00000063322	MED29	IXL,MED2
ZBTB33	ENSG00000066923	STAG3	-
ZBTB33	ENSG00000068137	PLEKHH3	-
ZBTB33	ENSG00000068976	PYGM	-
ZBTB33	ENSG00000071626	DAZAP1	-
ZBTB33	ENSG00000076108	BAZ2A	TIP5,WALp3
ZBTB33	ENSG00000086506	HBQ1	HBQ
ZBTB33	ENSG00000087157	PGS1	-
ZBTB33	ENSG00000089163	SIRT4	SIR2L4
ZBTB33	ENSG00000089597	GANAB	G2AN,GIIA,GLUII,PKD3
ZBTB33	ENSG00000090924	PLEKHG2	ARHGEF42,CLG,LDAMD
ZBTB33	ENSG00000092330	TINF2	DKCA3,TIN2
ZBTB33	ENSG00000096060	FKBP5	AIG6,FKBP51,FKBP54,P54,PPIase,Ptg-10
ZBTB33	ENSG00000099364	FBXL19	CXXC11,Fbl19,JHDM1C
ZBTB33	ENSG00000099385	BCL7C	-
ZBTB33	ENSG00000099783	HNRNPM	CEAR,HNRNPM4,HNRPM,HNRPM4,HTGR1,NAGR1,hnRNP M
ZBTB33	ENSG00000099817	POLR2E	RPABC1,RPB5,XAP4,hRPB25,hsRPB5
ZBTB33	ENSG00000100227	POLDIP3	PDIP46,SKAR
ZBTB33	ENSG00000100243	CYB5R3	B5R,DIA1
ZBTB33	ENSG00000100360	IFT27	BBS19,RABL4,RAYL
ZBTB33	ENSG00000100429	HDAC10	HD10
ZBTB33	ENSG00000100802	C14orf93	-
ZBTB33	ENSG00000100926	TM9SF1	HMP70,MP70
ZBTB33	ENSG00000102858	MGRN1	RNF156
ZBTB33	ENSG00000102898	NUTF2	NTF-2,NTF2,PP15
ZBTB33	ENSG00000102901	CENPT	C16orf56,CENP-T
ZBTB33	ENSG00000102904	TSNAXIP1	TXI1
ZBTB33	ENSG00000103148	NPRL3	C16orf35,CGTHBA,FFEVF3,HS-40,MARE,NPR3,RMD11
ZBTB33	ENSG00000103199	ZNF500	ZKSCAN18,ZSCAN50
ZBTB33	ENSG00000103415	HMOX2	HO-2
ZBTB33	ENSG00000103423	DNAJA3	HCA57,TID1,hTID-1
ZBTB33	ENSG00000104907	TRMT1	TRM1
ZBTB33	ENSG00000104915	STX10	SYN10,hsyn10
ZBTB33	ENSG00000105193	RPS16	S16
ZBTB33	ENSG00000105722	ERF	CHYTS,CRS4,PE-2,PE2
ZBTB33	ENSG00000105723	GSK3A	-
ZBTB33	ENSG00000106771	TMEM245	C9orf5,CG-2,CG2
ZBTB33	ENSG00000107819	SFXN3	BA108L7.2,SFX3
ZBTB33	ENSG00000107821	KAZALD1	BONO1,FKSG28,FKSG40,IGFBP-rP10
ZBTB33	ENSG00000108384	RAD51C	BROVCA3,FANCO,R51H3,RAD51L2
ZBTB33	ENSG00000109118	PHF12	PF1
ZBTB33	ENSG00000110076	NRXN2	-
ZBTB33	ENSG00000110107	PRPF19	NMP200,PRP19,PSO4,SNEV,UBOX4,hPSO4
ZBTB33	ENSG00000110108	TMEM109	-
ZBTB33	ENSG00000110955	ATP5B	ATPMB,ATPSB,HEL-S-271
ZBTB33	ENSG00000115211	EIF2B4	EIF-2B,EIF2B,EIF2Bdelta
ZBTB33	ENSG00000115216	NRBP1	BCON3,MADM,MUDPNP,NRBP
ZBTB33	ENSG00000115234	SNX17	-
ZBTB33	ENSG00000115241	PPM1G	PP2CG,PP2CGAMMA,PPP2CG
ZBTB33	ENSG00000115266	APC2	APCL,SOTOS3
ZBTB33	ENSG00000115268	RPS15	RIG,S15
ZBTB33	ENSG00000117450	PRDX1	MSP23,NKEF-A,NKEFA,PAG,PAGA,PAGB,PRX1,PRXI,TDPX2
ZBTB33	ENSG00000120029	C10orf76	-
ZBTB33	ENSG00000120253	NUP43	bA350J20.1,p42
ZBTB33	ENSG00000120265	PCMT1	PIMT
ZBTB33	ENSG00000121101	TEX14	CT113
ZBTB33	ENSG00000122203	KIAA1191	p33MONOX,p60MONOX
ZBTB33	ENSG00000123009	NME2P1	-
ZBTB33	ENSG00000123836	PFKFB2	PFK-2/FBPase-2
ZBTB33	ENSG00000124575	HIST1H1D	H1.3,H1D,H1F3,H1s-2
ZBTB33	ENSG00000124783	SSR1	TRAPA
ZBTB33	ENSG00000125445	MRPS7	MRP-S,MRP-S7,RP-S7,RPMS7,S7mt,bMRP27a
ZBTB33	ENSG00000125447	GGA3	-
ZBTB33	ENSG00000125450	NUP85	FROUNT,Nup75
ZBTB33	ENSG00000125454	SLC25A19	DNC,MCPHA,MUP1,THMD3,THMD4,TPC
ZBTB33	ENSG00000125457	MIF4GD	AD023,MIFD,SLIP1
ZBTB33	ENSG00000126246	IGFLR1	TMEM149
