TF_name	target_id	target_name	target_synonyms
ZNF143	ENSG00000002330	BAD	BBC2,BCL2L8
ZNF143	ENSG00000002834	LASP1	Lasp-1,MLN50
ZNF143	ENSG00000004534	RBM6	3G2,DEF-3,DEF3,HLC-11,NY-LU-12,g16
ZNF143	ENSG00000004660	CAMKK1	CAMKKA
ZNF143	ENSG00000004776	HSPB6	HEL55,Hsp20,PPP1R91
ZNF143	ENSG00000004777	ARHGAP33	NOMA-GAP,SNX26,TCGAP
ZNF143	ENSG00000004838	ZMYND10	BLU,CILD22,FLU
ZNF143	ENSG00000004975	DVL2	-
ZNF143	ENSG00000005238	FAM214B	KIAA1539
ZNF143	ENSG00000005882	PDK2	PDHK2,PDKII
ZNF143	ENSG00000006007	GDE1	363E6.2,MIR16
ZNF143	ENSG00000006025	OSBPL7	ORP7
ZNF143	ENSG00000006047	YBX2	CONTRIN,CSDA3,DBPC,MSY2
ZNF143	ENSG00000006118	TMEM132A	GBP,HSPA5BP1
ZNF143	ENSG00000006327	TNFRSF12A	CD266,FN14,TWEAKR
ZNF143	ENSG00000006712	PAF1	F23149_1,PD2
ZNF143	ENSG00000006831	ADIPOR2	ACDCR2,PAQR2
ZNF143	ENSG00000007264	MATK	CHK,CTK,HHYLTK,HYL,HYLTK,Lsk
ZNF143	ENSG00000007392	LUC7L	LUC7B1,Luc7,SR+89,hLuc7B1
ZNF143	ENSG00000007402	CACNA2D2	CACNA2D
ZNF143	ENSG00000008323	PLEKHG6	MyoGEF
ZNF143	ENSG00000008382	MPND	-
ZNF143	ENSG00000008441	NFIX	CTF,MRSHSS,NF-I/X,NF1-X,NF1A,SOTOS2
ZNF143	ENSG00000008516	MMP25	MMP-25,MMP20,MMP20A,MMPL1,MT-MMP 6,MT-MMP6,MT6-MMP,MT6MMP,MTMMP6
ZNF143	ENSG00000008517	IL32	IL-32alpha,IL-32beta,IL-32delta,IL-32gamma,NK4,TAIF,TAIFa,TAIFb,TAIFc,TAIFd
ZNF143	ENSG00000008838	MED24	hsa-mir-6884
ZNF143	ENSG00000010278	CD9	BTCC-1,DRAP-27,MIC3,MRP-1,TSPAN-29,TSPAN29
ZNF143	ENSG00000010626	LRRC23	LRPB7
ZNF143	ENSG00000011332	DPF1	BAF45b,NEUD4,neuro-d4
ZNF143	ENSG00000011426	ANLN	FSGS8,Scraps,scra
ZNF143	ENSG00000011590	ZBTB32	FAXF,FAZF,Rog,TZFP,ZNF538
ZNF143	ENSG00000011600	TYROBP	DAP12,KARAP,PLOSL
ZNF143	ENSG00000012061	ERCC1	COFS4,RAD10,UV20
ZNF143	ENSG00000012171	SEMA3B	hsa-mir-6872
ZNF143	ENSG00000013810	TACC3	ERIC-1,ERIC1
ZNF143	ENSG00000014914	MTMR11	CRA
ZNF143	ENSG00000019144	PHLDB1	hsa-mir-6716
ZNF143	ENSG00000021300	PLEKHB1	KPL1,PHR1,PHRET1
ZNF143	ENSG00000021762	OSBPL5	OBPH1,ORP5
ZNF143	ENSG00000024048	UBR2	C6orf133,bA49A4.1,dJ242G1.1,dJ392M17.3
ZNF143	ENSG00000028277	POU2F2	OCT2,OTF2,Oct-2
ZNF143	ENSG00000028528	SNX1	HsT17379,VPS5
ZNF143	ENSG00000032389	TSSC1	EIPR1
ZNF143	ENSG00000038358	EDC4	GE1,Ge-1,HEDL5,HEDLS,RCD-8,RCD8
ZNF143	ENSG00000040633	PHF23	hJUNE-1b
ZNF143	ENSG00000042493	CAPG	AFCP,HEL-S-66,MCP
ZNF143	ENSG00000042753	AP2S1	AP17,CLAPS2,FBH3,FBHOk,HHC3
ZNF143	ENSG00000048028	USP28	-
ZNF143	ENSG00000048162	NOP16	HSPC111,HSPC185
ZNF143	ENSG00000048828	FAM120A	C9orf10,OSSA
ZNF143	ENSG00000049883	PTCD2	-
ZNF143	ENSG00000054116	TRAPPC3	BET3
ZNF143	ENSG00000054356	PTPRN	IA-2,IA-2/PTP,IA2,ICA512,R-PTP-N
ZNF143	ENSG00000054611	TBC1D22A	C22orf4,HSC79E021
ZNF143	ENSG00000054965	FAM168A	KIAA0280,TCRP1
ZNF143	ENSG00000056097	ZFR	SPG71,ZFR1
ZNF143	ENSG00000058453	CROCC	ROLT,TAX1BP2
ZNF143	ENSG00000060558	GNA15	GNA16
ZNF143	ENSG00000063015	SEZ6	BSRPC
ZNF143	ENSG00000063176	SPHK2	SK 2,SK-2,SPK 2,SPK-2
ZNF143	ENSG00000063177	RPL18	L18
ZNF143	ENSG00000063180	CA11	CARPX1
ZNF143	ENSG00000063241	ISOC2	-
ZNF143	ENSG00000063322	MED29	IXL,MED2
ZNF143	ENSG00000064687	ABCA7	ABCA-SSN,ABCX,AD9
ZNF143	ENSG00000064932	SBNO2	KIAA0963,SNO,STNO
ZNF143	ENSG00000065054	SLC9A3R2	E3KARP,NHE3RF2,NHERF-2,NHERF2,OCTS2,SIP-1,SIP1,TKA-1
ZNF143	ENSG00000065057	NTHL1	FAP3,NTH1,OCTS3,hNTH1
ZNF143	ENSG00000065600	TMEM206	C1orf75
ZNF143	ENSG00000067560	RHOA	ARH12,ARHA,RHO12,RHOH12
ZNF143	ENSG00000067836	ROGDI	KTZS
ZNF143	ENSG00000067842	ATP2B3	CFAP39,CLA2,OPCA,PMCA3,PMCA3a,SCAX1
ZNF143	ENSG00000068001	HYAL2	LUCA2
ZNF143	ENSG00000068028	RASSF1	123F2,NORE2A,RASSF1A,RDA32,REH3P21
ZNF143	ENSG00000068831	RASGRP2	CALDAG-GEFI,CDC25L
ZNF143	ENSG00000068971	PPP2R5B	B56B,PR61B
ZNF143	ENSG00000068976	PYGM	-
ZNF143	ENSG00000069275	NUCKS1	JC7,NUCKS
ZNF143	ENSG00000070950	RAD18	RNF73
ZNF143	ENSG00000072778	ACADVL	ACAD6,LCACD,VLCAD
ZNF143	ENSG00000072818	ACAP1	CENTB1
ZNF143	ENSG00000073169	SELO	SELO
ZNF143	ENSG00000074356	C17orf85	C17orf85,ELG,HSA277841
ZNF143	ENSG00000075399	VPS9D1	ATP-BL,C16orf7
ZNF143	ENSG00000075624	ACTB	BRWS1,PS1TP5BP1
ZNF143	ENSG00000076248	UNG	DGU,HIGM4,HIGM5,UDG,UNG1,UNG15,UNG2
ZNF143	ENSG00000076555	ACACB	ACC2,ACCB,HACC275
ZNF143	ENSG00000077782	FGFR1	BFGFR,CD331,CEK,ECCL,FGFBR,FGFR-1,FLG,FLT-2,FLT2,HBGFR,HH2,HRTFDS,KAL2,N-SAM,OGD,bFGF-R-1
ZNF143	ENSG00000079313	REXO1	MIRN1909,hsa-mir-1909,mir-1909
ZNF143	ENSG00000079432	CIC	-
ZNF143	ENSG00000080839	RBL1	CP107,PRB1,p107
ZNF143	ENSG00000081692	JMJD4	-
ZNF143	ENSG00000083444	PLOD1	EDS6,LH,LH1,LLH,PLOD
ZNF143	ENSG00000083457	ITGAE	CD103,HUMINAE
ZNF143	ENSG00000083828	ZNF586	-
ZNF143	ENSG00000084207	GSTP1	DFN7,FAEES3,GST3,GSTP,HEL-S-22,PI
ZNF143	ENSG00000084693	AGBL5	CCP5,RP75
ZNF143	ENSG00000085831	TTC39A	C1orf34,DEME-6
ZNF143	ENSG00000086506	HBQ1	HBQ
ZNF143	ENSG00000087074	PPP1R15A	GADD34
ZNF143	ENSG00000087076	HSD17B14	DHRS10,SDR47C1,retSDR3
ZNF143	ENSG00000088002	SULT2B1	HSST2
ZNF143	ENSG00000088038	CNOT3	LENG2,NOT3,NOT3H
ZNF143	ENSG00000088247	KHSRP	mir-3940
ZNF143	ENSG00000089050	RBBP9	BOG,RBBP10
ZNF143	ENSG00000089091	DZANK1	ANKRD64,C20orf12,C20orf84,bA189K21.1,bA189K21.8,dJ568F9.2
ZNF143	ENSG00000089154	GCN1L1	GCN1L,GCN1L1,PRIC295
ZNF143	ENSG00000089159	PXN	-
ZNF143	ENSG00000089163	SIRT4	SIR2L4
ZNF143	ENSG00000089685	BIRC5	API4,EPR-1
ZNF143	ENSG00000090238	YPEL3	-
ZNF143	ENSG00000090554	FLT3LG	FL,FLT3L
ZNF143	ENSG00000090924	PLEKHG2	ARHGEF42,CLG,LDAMD
ZNF143	ENSG00000090971	NAT14	KLP1
ZNF143	ENSG00000091542	ALKBH5	ABH5,OFOXD,OFOXD1
ZNF143	ENSG00000092067	CEBPE	C/EBP-epsilon,CRP1
ZNF143	ENSG00000092758	COL9A3	DJ885L7.4.1,EDM3,IDD,MED
ZNF143	ENSG00000092820	EZR	CVIL,CVL,HEL-S-105,VIL2
ZNF143	ENSG00000092929	UNC13D	FHL3,HLH3,HPLH3,Munc13-4
ZNF143	ENSG00000094804	CDC6	CDC18L,HsCDC18,HsCDC6,MGORS5
ZNF143	ENSG00000095370	SH2D3C	CHAT,NSP3,PRO34088,SHEP1
ZNF143	ENSG00000095383	TBC1D2	PARIS-1,PARIS1,TBC1D2A
ZNF143	ENSG00000095932	SMIM24	C19orf77,HSPC323,MARDI
ZNF143	ENSG00000096088	PGC	PEPC,PGII
ZNF143	ENSG00000096384	HSP90AB1	D6S182,HSP84,HSP90B,HSPC2,HSPCB
ZNF143	ENSG00000099203	TMED1	IL1RL1LG,Il1rl1l,Tp24,p24g1
ZNF143	ENSG00000099364	FBXL19	CXXC11,Fbl19,JHDM1C
ZNF143	ENSG00000099377	HSD3B7	CBAS1,PFIC4,SDR11E3
ZNF143	ENSG00000099381	SETD1A	KMT2F,Set1,Set1A
ZNF143	ENSG00000099385	BCL7C	-
ZNF143	ENSG00000099817	POLR2E	RPABC1,RPB5,XAP4,hRPB25,hsRPB5
ZNF143	ENSG00000099999	RNF215	-
ZNF143	ENSG00000100003	SEC14L2	C22orf6,SPF,TAP,TAP1
ZNF143	ENSG00000100079	LGALS2	HL14
ZNF143	ENSG00000100083	GGA1	-
ZNF143	ENSG00000100092	SH3BP1	ARHGAP43
ZNF143	ENSG00000100129	EIF3L	EIF3EIP,EIF3S11,EIF3S6IP,HSPC021,HSPC025,MSTP005
ZNF143	ENSG00000100142	POLR2F	HRBP14.4,POLRF,RPABC14.4,RPABC2,RPB14.4,RPB6,RPC15
ZNF143	ENSG00000100227	POLDIP3	PDIP46,SKAR
ZNF143	ENSG00000100335	MIEF1	HSU79252,MID51,SMCR7L,dJ1104E15.3
ZNF143	ENSG00000100345	MYH9	BDPLT6,DFNA17,EPSTS,FTNS,MHA,NMHC-II-A,NMMHC-IIA,NMMHCA
ZNF143	ENSG00000100348	TXN2	COXPD29,MT-TRX,MTRX,TRX2
ZNF143	ENSG00000100350	FOXRED2	ERFAD
ZNF143	ENSG00000100353	EIF3D	EIF3S7,eIF3-p66,eIF3-zeta
ZNF143	ENSG00000100395	L3MBTL2	H-l(3)mbt-l,L3MBT
ZNF143	ENSG00000100410	PHF5A	INI,Rds3,SAP14b,SF3B7,SF3b14b,bK223H9.2
ZNF143	ENSG00000100412	ACO2	ACONM,HEL-S-284,ICRD,OCA8,OPA9
ZNF143	ENSG00000100429	HDAC10	HD10
ZNF143	ENSG00000100811	YY1	hsa-mir-6764
ZNF143	ENSG00000100813	ACIN1	ACINUS,ACN,fSAP152
ZNF143	ENSG00000100991	TRPC4AP	C20orf188,PPP1R158,TRRP4AP,TRUSS
ZNF143	ENSG00000101161	PRPF6	ANT-1,ANT1,C20orf14,Prp6,RP60,SNRNP102,TOM,U5-102K,hPrp6
ZNF143	ENSG00000101191	DIDO1	BYE1,C20orf158,DATF-1,DATF1,DIDO2,DIDO3,DIO-1,DIO1,dJ885L7.8
ZNF143	ENSG00000101210	EEF1A2	EEF1AL,EF-1-alpha-2,EF1A,EIEE33,HS1,MRD38,STN,STNL
ZNF143	ENSG00000101213	PTK6	BRK
ZNF143	ENSG00000101220	C20orf27	-
ZNF143	ENSG00000101222	SPEF1	C20orf28,CLAMP,SPEF1A
ZNF143	ENSG00000101224	CDC25B	-
ZNF143	ENSG00000101266	CSNK2A1	CK2A1,CKII,CSNK2A3,OCNDS
ZNF143	ENSG00000101310	SEC23B	CDA-II,CDAII,CDAN2,CWS7,HEMPAS
ZNF143	ENSG00000101353	MROH8	C20orf131,C20orf132,dJ621N11.3,dJ621N11.4
ZNF143	ENSG00000102032	RENBP	RBP,RNBP
ZNF143	ENSG00000102225	CDK16	PCTAIRE,PCTAIRE1,PCTGAIRE,PCTK1
ZNF143	ENSG00000102226	USP11	UHX1
ZNF143	ENSG00000102575	ACP5	HPAP,TRACP5a,TRACP5b,TRAP,TrATPase
ZNF143	ENSG00000102854	MSLN	MPF,SMRP
ZNF143	ENSG00000102858	MGRN1	RNF156
ZNF143	ENSG00000102882	MAPK3	ERK-1,ERK1,ERT2,HS44KDAP,HUMKER1A,P44ERK1,P44MAPK,PRKM3,p44-ERK1,p44-MAPK
ZNF143	ENSG00000102886	GDPD3	GDE7
ZNF143	ENSG00000102898	NUTF2	NTF-2,NTF2,PP15
ZNF143	ENSG00000102901	CENPT	C16orf56,CENP-T
ZNF143	ENSG00000102904	TSNAXIP1	TXI1
ZNF143	ENSG00000103042	SLC38A7	SNAT7
ZNF143	ENSG00000103145	HCFC1R1	HPIP
ZNF143	ENSG00000103197	TSC2	LAM,PPP1R160,TSC4
ZNF143	ENSG00000103199	ZNF500	ZKSCAN18,ZSCAN50
ZNF143	ENSG00000103266	STUB1	CHIP,HSPABP2,NY-CO-7,SCAR16,SDCCAG7,UBOX1
ZNF143	ENSG00000103269	RHBDL1	RHBDL,RRP
