"features_all","pvalues","adj_pvalues"
"CD45RO","0.0127332076926113","0.299633723767149"
"B7","0.0165066696532002","0.299633723767149"
"CD158f","0.0189900331067132","0.299633723767149"
"CD169","0.0242627334301131","0.299633723767149"
"CD184","0.0249180932276846","0.299633723767149"
"CD269","0.0366616010107425","0.299633723767149"
"CD224","0.0375835468416769","0.299633723767149"
"CD57","0.0375835468416769","0.299633723767149"
"CD82","0.0385243359129192","0.299633723767149"
"CD138","0.0525882208407808","0.315476452670241"
"CD11b","0.0538202272090513","0.315476452670241"
"CD154","0.056352729156579","0.315476452670241"
"CD326","0.0603265049830304","0.315476452670241"
"Ig","0.0630952905340482","0.315476452670241"
"CD197","0.0735702193092597","0.343327690109879"
"CD124","0.0871138090292271","0.355193927158345"
"CD71","0.0945471114242135","0.355193927158345"
"TIGIT","0.0945471114242135","0.355193927158345"
"Podoplanin","0.09843458968907","0.355193927158345"
"CD107a","0.106558178147504","0.355193927158345"
"CD144","0.106558178147504","0.355193927158345"
"XCR1","0.124233703280302","0.357768877131219"
"TCR","0.128956128274494","0.357768877131219"
"CD5","0.133801619086115","0.357768877131219"
"CD41","0.136270717556892","0.357768877131219"
"CD101","0.154425255551954","0.357768877131219"
"CD257","0.154425255551954","0.357768877131219"
"CD38","0.157143641283128","0.357768877131219"
"CD88","0.171204665718156","0.357768877131219"
"CD96","0.171204665718156","0.357768877131219"
"CD62L","0.177047649045468","0.357768877131219"
"CD49f","0.180015830213059","0.357768877131219"
"CX3CR1","0.180015830213059","0.357768877131219"
"CD226","0.183015062919492","0.357768877131219"
"Mac","0.183015062919492","0.357768877131219"
"CD254","0.189106406483644","0.357768877131219"
"CD95","0.189106406483644","0.357768877131219"
"CD58","0.214696127773284","0.39133690212233"
"CD195","0.218030559753869","0.39133690212233"
"CD336","0.224788228935861","0.393379400637758"
"CD70","0.235143983992204","0.401465338523276"
"CD319","0.252974285336825","0.421623808894709"
"CD305","0.260300625564673","0.423745204407607"
"CD137","0.279083049177077","0.44399576005444"
"CD85j","0.290660250243864","0.446886964636802"
"CD26","0.294568634920771","0.446886964636802"
"CD36","0.302457265041169","0.446886964636802"
"CD52","0.30643677575095","0.446886964636802"
"CD45","0.322580500653063","0.460829286647232"
"ITGB7","0.334913954287318","0.465384488851355"
"CD47","0.339065841877416","0.465384488851355"
"CD141","0.368653296204096","0.486900579892203"
"FCERIA","0.368653296204096","0.486900579892203"
"CD32","0.390287029880274","0.505927631326281"
"CD366","0.416697435858578","0.530342191092735"
"CD2","0.430053167986558","0.537566459983198"
"CD11a","0.47054235383529","0.563639831146061"
"CD11c","0.475067857680252","0.563639831146061"
"CD30","0.475067857680252","0.563639831146061"
"CD45RA","0.493196222365662","0.571167841756176"
"CD99","0.497731976387525","0.571167841756176"
"CD54","0.506803777634338","0.572197813458123"
"CD49d","0.524932142319748","0.575054683219293"
"CD357","0.52945764616471","0.575054683219293"
"CLEC12A","0.53397934870363","0.575054683219293"
"CD31","0.543009028163285","0.575918666233788"
"HLA","0.560997340087088","0.586116623971584"
"CD4","0.574408434476152","0.591302800196039"
"CD303","0.673329147035767","0.683087540471068"
"CD123","0.701498905747665","0.701498905747665"
