,NRP1,BSG,DPP4,ASGR1,CLEC10A,group
cov_07,0.34808113005008096,0.658276807577745,0.10192942653903046,0.12756359754206134,0.7568206850000614,healthy
cov_08,0.10009977764672151,0.5310386875215544,0.05419907704621764,0.1629351493767878,1.0303499976105177,healthy
cov_09,0.12704408305849932,0.6030089671578012,0.070509448465441,0.1226606282409802,1.1172646376755815,healthy
cov_17,0.21645035263221155,0.4628757816476375,0.08705591014984242,0.17131482890977928,1.1594385408335484,healthy
cov_18,0.20773457383097468,0.514159352630174,0.07289267880999174,0.1618323825082274,0.9929975454230744,healthy
cov_02,0.19911779871306334,0.7253308755145362,0.039983574877910384,0.093281688445163,0.44188098515613344,moderate
cov_03,0.17518546065695753,0.6706343212297916,0.0838205620599792,0.15034643435482486,0.4587970261918068,moderate
cov_12,0.06082551277413159,0.5486431130196581,0.12734377399855704,0.14106582601129658,0.7430533394445593,moderate
cov_01,0.1858749626713015,0.7182472079575506,0.08878603301615091,0.0873051190135862,0.8112350146675698,severe
cov_04,0.20365796425909932,0.6067631702092288,0.1036968435949008,0.1058175752078177,0.8401247974821077,severe
cov_10,0.3051309212507605,0.5032364786314633,0.08562226425720902,0.042974911428547063,0.1464565061073024,severe
cov_11,0.1810861114799735,0.6007114230815075,0.10983725522400521,0.026176739295875724,0.12165420524142548,severe
